film,country,lat,long
Jungle Mystery , USA,34.13811680000001,-118.3533783
Free Wheeling , USA,34.1116496,-118.3460459
Boudu sauvé des eaux , France,48.9563411,2.312429
Kreuzer Emden , Germany,48.065582,11.550787
Central Park , USA,34.1519315,-118.3365354
O'er Hill and Dale , UK,55.47799999999999,-2.152
Vanity Fair , USA,34.0831,-118.3177071
Abenteuer im Engadin , Switzerland,46.650234,10.0287409
Gehetzte Menschen , France,43.296482,5.36978
Le bluffeur , USA,34.1519315,-118.3365354
The Sign of the Cross , USA,34.1155076,-118.7561452
Das Schiff ohne Hafen , Germany,53.5395845,8.580942499999999
F.P.1 antwortet nicht , Germany,53.859336,8.6879057
This Naked Age , France,48.801408,2.130122
Razzia in St. Pauli , Germany,53.5510846,9.9936819
County Hospital , USA,34.0000895,-118.3027821
Rain , USA,33.44,-118.49833
Madame Racketeer , USA,34.0837186,-118.3209528
Over the Seven Seas , Indonesia,-7.614529200000001,110.7122465
What Price Hollywood? , USA,34.1015885,-118.3336436
Home Sweet Home the World Over , China,22.396428,114.109497
Over the Seven Seas , Ecuador,-0.383106,-90.4233344
Scarlet Dawn , USA,34.1519315,-118.3365354
Abenteuer im Engadin , Switzerland,46.4907973,9.8355079
Blonde Venus , USA,34.1155076,-118.7561452
The Island Empire , Japan,34.6850869,135.8050002
Olympic Events , USA,34.0140526,-118.2878754
Kuhle Wampe oder: Wem gehört die Welt? , Germany,52.52000659999999,13.404954
As You Desire Me , USA,34.0160487,-118.4037798
Islande escale entre deux mondes ,Iceland,64.963051,-19.020835
Mr. Robinson Crusoe , USA,34.0902669,-118.3463724
Barbados and Trinidad Gardens of the Caribbean , Trinidad and Tobago,10.3757217,-61.23355919999999
Divorce in the Family , USA,34.0160487,-118.4037798
Shopworn , USA,34.068921,-118.4451811
Les trois mousquetaires , France,48.9563411,2.312429
Les petits métiers de Paris , France,48.86300139999999,2.309851
The Night of June 13 , USA,34.0837186,-118.3209528
Le roi des palaces ,France,46.227638,2.213749
Boudu sauvé des eaux , France,48.4434759,5.137688
Madison Square Garden , USA,34.0837186,-118.3209528
En el infierno del Chaco ,Paraguay,-23.442503,-58.443832
Sky Bride , USA,34.025785,-118.3471141
L'Atlantide , Algeria,33.0996078,6.0785104
High Pressure , USA,34.1519315,-118.3365354
State's Attorney , USA,34.3121626,-118.4806781
Lyckans gullgossar , Sweden,59.3256984,18.0718788
Repülö arany , Hungary,47.511857,19.194054
Boudu sauvé des eaux , France,48.1260968,5.1071322
Heritage of the Desert , USA,35.3730834,-117.991029
Repülö arany , Hungary,46.9128663,17.8880006
