film,country,lat,long
A Punjab Village , Pakistan,31.1704063,72.7097161
El abuelo , Spain,43.38733269999999,-4.106609199999999
The Big Parade , USA,29.3872438,-98.6009502
A Broadway Butterfly , USA,34.1519315,-118.3365354
The Midnight Girl , USA,40.77233150000001,-73.90640530000002
The Freshman , USA,34.089696,-118.335049
Petits doigts de fée ,France,46.227638,2.213749
Seven Chances , USA,34.0322985,-118.3051737
Les misérables , France,50.46816,1.768269
The Three Way Trail , USA,38.8026097,-116.419389
Le prince charmant , France,43.703976,7.311109000000001
Bronenosets Potemkin , Ukraine,44.61665,33.5253671
The Vanishing American , USA,37.00424539999999,-110.1734785
The Rider of the Pass , USA,36.5677116,-118.0898097
The Movies , USA,34.0522342,-118.2436849
New Toys , USA,40.7579779,-73.98032719999999
Jedenácté prikázání , Czech Republic,50.0755381,14.4378005
Der Farmer aus Texas ,Sweden,60.12816100000001,18.643501
Excuse Me , USA,34.0160487,-118.4037798
The Freshman , USA,37.8710434,-122.2507729
Visages d'enfants , Switzerland,45.9919529,7.1858196
Revista cinematografica de el Universal no. 5 ,Mexico,23.634501,-102.552784
Clash of the Wolves , USA,34.2506356,-118.61481
The Coast of Folly ,France,46.227638,2.213749
Boys Will Be Joys , USA,33.9936153,-118.4799099
The Midshipman , USA,38.9784453,-76.4921829
Soul-Fire , USA,40.7579779,-73.98032719999999
All for a Girl , USA,34.0761661,-118.3342218
Suomen presidentin Lauri Relanderin vierailu Virossa v. 1925 , Estonia,58.3776252,26.7290062
The Zoo , Belgium,51.2194475,4.4024643
Prem Sanyas , India,26.9124336,75.7872709
Up the Ladder , USA,34.13811680000001,-118.3533783
Die Stadt der Millionen , Germany,52.40420169999999,13.0384999
Half Fare , USA,34.13811680000001,-118.3533783
Les indiens du Gran-Chaco ,Paraguay,-23.442503,-58.443832
We Moderns , UK,51.5073509,-0.1277583
Hennes lilla majestät , Sweden,60.38281989999999,17.2447998
Wild West , USA,36.6796557,-97.1387245
Water Wagons , USA,33.925201,-118.326553
The Gold Rush , USA,36.778261,-119.4179324
Vendanges et vinification ,France,46.227638,2.213749
The Gold Rush , USA,38.5815719,-121.4943996
A traves de Sonora , Mexico,31.3011855,-110.9381047
Der Rosenkavalier , Austria,48.3976064,15.5197381
Cipriano comendador , Spain,39.5037794,-0.4243013
The King on Main Street , USA,40.7568434,-73.9244921
Bronenosets Potemkin , Ukraine,44.4209688,34.0472685
The Sporting Venus , UK,52.3555177,-1.1743197
Tides of Passion , USA,32.8328112,-117.2712717
That Royle Girl , USA,41.9871585,-87.6560928
The Beautiful City , USA,40.715033,-73.9842724
Forminière in Nioki , Democratic Republic Of Congo,-2.7180891,17.6866471
Suomen presidentin Lauri Relanderin vierailu Virossa v. 1925 , Finland,60.16985569999999,24.9383791
The Awful Truth , USA,37.7749295,-122.4194155
Luz en el sendero ,Mexico,23.634501,-102.552784
Face à la mort , Germany,47.6617648,9.4800113
Clothes Make the Pirate , USA,40.7127753,-74.0059728
The Denial , USA,34.0160487,-118.4037798
Ruotsin kuningasparin vierailu , Finland,60.1554097,23.0788543
That Royle Girl , USA,41.8037904,-87.5818839
El abuelo , Spain,43.4215088,-4.0593255
Ben-Hur: A Tale of the Christ , Italy,41.9027835,12.4963655
La casa de la Troya , Spain,43.3476427,-8.2760021
The Green Archer , USA,41.0906519,-73.9179146
Nobody Wins , USA,34.13811680000001,-118.3533783
A Trip Along the River Murray , Australia,-34.2080167,142.1245535
The Man from Red Gulch , USA,39.6556215,-121.9678059
The White Monkey , USA,40.7127753,-74.0059728
Thunder Mountain , USA,36.9741171,-122.0307963
The Thundering Herd , USA,34.1751188,-118.6811919
Une grande banque au Congo Belge ,Democratic Republic Of Congo,-4.038333,21.758664
De cabaret-prinses , France,48.856614,2.3522219
Ty petrínské stráne , Czech Republic,50.0755381,14.4378005
Veille d'armes , France,43.124228,5.928
Locked Out , USA,34.13811680000001,-118.3533783
El abuelo , Spain,40.4167754,-3.7037902
Las Barracas , Spain,39.4699075,-0.3762881
Roald Amundsen - Ellsworths flyveekspedition 1925 , Arctic,66.6491015,-86.8723926
Stage Struck , USA,40.7652911,-73.9830226
Ruta gloriosa , Spain,35.2922775,-2.9380973
Mylord l'Arsouille , France,48.84283199999999,2.4178639
Tras las bambalinas del bataclan ,Mexico,23.634501,-102.552784
La belgika à Stanleyville et dans l'île Bertha , Democratic Republic Of Congo,0.5185303,25.2007728
Nowa Palestyna i otwarcie uniwersytetu w Jerozolimie ,Palestine,31.952162,35.233154
A Trip Along the River Murray , Australia,-36.7235617,140.3481835
American Pluck , USA,33.3878856,-118.4163103
L'heureuse mort , France,49.49437,0.107929
Poil de carotte , France,44.6008723,6.322607199999999
Tamilla , USSR,55.755826,37.6172999
Två konungar , Sweden,59.32169349999999,17.8868253
La barraqueta del Nano , Spain,39.4699075,-0.3762881
Dempsey en México ,Mexico,23.634501,-102.552784
El abuelo , Spain,43.3488503,-4.050150500000001
Namus , Armenia,40.1791857,44.4991029
Le calvaire de Dona Pia , France,42.48343,3.128874
Un gamin de Bruxelles , Belgium,50.8449933,4.3499778
Syn hor , Czech Republic,50.6663334,15.5481721
El abuelo , Spain,40.4819791,-3.3635421
Kalle Utter , Sweden,59.2576996,17.758643
She , UK,51.5073509,-0.1277583
A Trip Along the River Murray , Australia,-34.1613339,142.0475029
The Rat , UK,51.5378112,-0.1023198
Heart Trouble , USA,34.13811680000001,-118.3533783
The Scarlet West , USA,37.4738818,-108.5045356
Little Annie Rooney , USA,34.0902669,-118.3463724
Santa Claus , USA,40.7127753,-74.0059728
Eugene O'Neill and John Held in Bermuda ,Bermuda,32.3078,-64.7505
Shore Leave , USA,40.7579779,-73.98032719999999
Le bossu , France,43.80604400000001,4.65752
Jocaste , France,48.8806652,2.3000451
Sporting Life , USA,34.13811680000001,-118.3533783
The Calgary Stampede , Canada,51.0486151,-114.0708459
Ben-Hur: A Tale of the Christ , Italy,41.4495955,12.6197253
Jalapa , Mexico,19.5437751,-96.91018059999999
The Vanishing American , USA,33.3878856,-118.4163103
Le bossu , France,43.788652,4.831342999999999
The Coast of Folly , USA,40.7127753,-74.0059728
The Scarlet Woman: An Ecclesiastical Melodrama , UK,51.5608421,-0.1631376
The Freshman , USA,34.0928092,-118.3286614
Ben-Hur: A Tale of the Christ , USA,34.275888,-118.609011
The Ancient Highway , USA,43.3665007,-124.2178903
La blessure , France,49.14200109999999,0.6682684999999999
The Little French Girl , Bermuda,32.2945837,-64.7858887
The Prude's Fall , UK,51.5465063,-0.1058058
Visages d'enfants , Switzerland,46.0621774,7.209217999999999
Winds of Chance , USA,45.5701445,-117.5282416
Ingmarsarvet , Sweden,62.96342199999999,15.1784759
The Phantom of the Opera , USA,34.13811680000001,-118.3533783
I'll Show You the Town , USA,34.13811680000001,-118.3533783
Karel Havlícek Borovský , Czech Republic,50.0755381,14.4378005
Sailing Along , USA,33.7360619,-118.2922461
The Party , USA,34.13811680000001,-118.3533783
Karl XII del II , Sweden,63.1766832,14.6360681
The Circle , USA,34.0160487,-118.4037798
The Big Parade , USA,33.7878584,-117.8535007
California Straight Ahead , USA,34.13811680000001,-118.3533783
Wild Horse Canyon , USA,35.75467320000001,-118.4253627
The Little French Girl , USA,40.7568434,-73.9244921
Play Ball I), USA,40.756018,-73.982297
The Big Parade , USA,33.7890101,-117.8962693
Bataclan de Paris por dentro y por fuera ,Mexico,23.634501,-102.552784
Nabadaile Cleopatrei ,Romania,45.943161,24.96676
Visages d'enfants , Switzerland,45.9911111,7.188888899999999
L'heureuse mort , France,48.8543736,2.4333779
The Freshman , USA,34.0211224,-118.3964665
Ben-Hur: A Tale of the Christ , Italy,43.548473,10.3105674
El abuelo , Spain,43.3813069,-4.397057999999999
Carnaval 1925 , Mexico,20.9673702,-89.5925857
Mylord l'Arsouille , France,48.4434759,5.137688
Opérations d'urgence sur les animaux à la ferme ,France,46.227638,2.213749
The Rancher's Daughter , Australia,-30.0002315,136.2091547
The Timber Wolf , USA,36.778261,-119.4179324
Die Stadt der Millionen , Germany,52.52000659999999,13.404954
Ruotsin kuningasparin vierailu , Finland,61.8679728,28.8863843
Ruta gloriosa , Morocco,35.5888995,-5.3625516
Night Life of New York , USA,40.7652911,-73.9830226
Body and Soul , USA,40.8447819,-73.8648268
Damen med kameliorna , Sweden,59.36672999999999,17.9825319
Grass: A Nation's Battle for Life , Iran,31.3832162,49.13037360000001
Under the Rouge , USA,45.5230622,-122.6764815
Sons of the Sea ,Malta,35.937496,14.375416
The Big Parade , USA,29.4241219,-98.49362819999999
Durand of the Bad Lands , USA,36.5677116,-118.0898097
México pais de romance ,Mexico,23.634501,-102.552784
Tasavallan Presidentin vierailu Virossa , Estonia,59.43696079999999,24.7535747
Womanhandled , USA,29.7604267,-95.3698028
The Movies , USA,34.1018557,-118.3378885
Sonora , Mexico,28.8227474,-111.9363016
The Vanishing American , USA,36.9913715,-110.1938672
The Monster , USA,34.0160487,-118.4037798
México militar ,Mexico,23.634501,-102.552784
El abuelo , Spain,43.46230569999999,-3.8099803
That Old Gang of Mine , USA,40.7127753,-74.0059728
Karl XII del II , Sweden,63.4314097,13.0935359
A Trip Along the River Murray , Australia,-34.9130677,139.3052195
Karel Havlícek Borovský , Italy,46.7177048,11.6572436
Don Quintín el amargao , Spain,40.6249083,-4.6124553
Smoked Out , USA,34.13811680000001,-118.3533783
Parque zoologico de Agua Azul de Guadalajara , Mexico,20.6596988,-103.3496092
Le juif polonais , France,48.3181795,7.441624099999999
The Girl on the Stairs , USA,37.5629917,-122.3255254
Abu Markúb och de hundrade elefanter ,Sudan,12.862807,30.217636
The Tower of Lies , USA,38.0679749,-121.8427354
De cabaret-prinses , Netherlands,52.3702157,4.895167900000001
Canadian Government Arctic Expedition of 1924 , Canada,80.75039029999999,-72.6651902
The Green-Eyed Monster , USA,34.13811680000001,-118.3533783
The Air Mail , USA,36.90321,-116.828117
My Baby Doll , USA,34.13811680000001,-118.3533783
That Royle Girl , USA,40.7652911,-73.9830226
La destruction des campagnols ,France,46.227638,2.213749
Le bossu , France,44.890891,1.217292
The Air Mail , USA,36.5322649,-116.9325408
The Snow Hawk , USA,34.2483396,-117.1892078
A traves de Sonora , Mexico,29.0729673,-110.9559192
Karl XII del II , Turkey,41.0082376,28.9783589
Plutarco Elias Calles en spreewall ,Mexico,23.634501,-102.552784
Jeu du drapeau en Brabant Wallon , Belgium,50.8815434,4.564597
Im Strudel des Verkehrs. Ein Film für Jedermann , Germany,52.52000659999999,13.404954
Stage Struck , USA,40.7127753,-74.0059728
Sunken Silver , USA,27.6648274,-81.5157535
The Gold Rush , USA,34.0522342,-118.2436849
The Gold Rush , USA,37.9577016,-121.2907796
Alma provinciana , Colombia,4.6080803,-74.0688894
The White Monkey , USA,40.8527649,-73.9724901
Mylord l'Arsouille , France,43.94931700000001,4.805528
His New Suit , USA,34.13811680000001,-118.3533783
The Great Divide , USA,36.1069652,-112.1129972
The Heart of a Siren , USA,40.8527649,-73.9724901
Santa Claus , USA,61.194859,-149.877339
Ben-Hur: A Tale of the Christ , USA,34.0239976,-118.3923867
Water Wagons , USA,34.0522342,-118.2436849
The Golden Trail , USA,35.75467320000001,-118.4253627
Les eaux de Spa , Belgium,50.49243,5.86432
