film,country,lat,long
Sunshine Through the Dark , USA,40.8509333,-73.9701381
For Her Brother's Sake III), USA,34.1425078,-118.255075
The Indian Brothers , USA,34.1655804,-118.0481597
The First Film of Palestine , Israel,31.793341,35.2476061
The Trail of Books , USA,40.8509333,-73.9701381
The Making of a Man , USA,40.8509333,-73.9701381
Across the Plains , USA,34.0555693,-117.1825381
The Coffin Ship , USA,41.0748454,-72.94605659999999
McKee Rankin's '49' , USA,34.0522342,-118.2436849
Secret of the Opal Mine ,Bermuda,32.3078,-64.7505
The Convert of San Clemente , USA,32.9028812,-118.4980744
The Last Drop of Water , USA,34.165357,-118.6089752
An Arizona Romance , USA,33.4483771,-112.0740373
A Country Cupid , USA,40.6589912,-74.3473717
A Pal's Oath , USA,37.9735346,-122.5310874
Di shtifmuter , Poland,52.2296756,21.0122287
What a Woman Can Do , USA,34.0555693,-117.1825381
The Haunted Sentinel Tower , Cuba,23.1507603,-82.3562326
Fiestas del Sitio en Bilbao , Spain,43.2630126,-2.9349852
Corrida de Fuentes y Lagartijillo en el toreo ,Mexico,23.634501,-102.552784
Railroad Raiders of '62 , USA,30.3321838,-81.65565099999999
When California Was Won , USA,34.1425078,-118.255075
The Ranchman's Son , USA,34.0194543,-118.4911912
The Chief's Daughter I), USA,34.09672010000001,-118.1068683
Saved from Himself , USA,40.8928771,-73.9726381
The Message in the Bottle ,Cuba,21.521757,-77.781167
The Young Men's Christian Association , USA,43.6964519,-73.5056735
Rannsakningsdomaren , Sweden,55.604981,13.003822
The Forester's Plea , USA,37.9735346,-122.5310874
Santa Catalina Magic Isle of the Pacific , USA,33.3878856,-118.4163103
Toma de ciudad Juarez y el viaje del heroe de la revolución Don Francisco I. Madero , Mexico,31.6903638,-106.4245478
The Chief's Daughter I), USA,34.2819461,-118.4389719
Hamlet , Denmark,56.030787,12.592127
A Visit to the Dome of the Milan Cathedral , Italy,45.4642035,9.189982
The Girl Back East , USA,37.9735346,-122.5310874
L'Europe Orientale - En Bosnie , Bosnia-Herzegovina,43.8562586,18.4130763
En Camargue , France,43.5939088,4.4689834
Bonita of El Cajon , USA,32.8453361,-116.9878006
Novillada de la sociedad de artistas españolas y mexicanas ,Mexico,23.634501,-102.552784
Proclaiming Archbishop Prendergast , USA,39.9525839,-75.1652215
Historia de la revolución desde la toma de ciudad Juarez hasta la salida del licensiado Leon de la Barra ,Mexico,23.634501,-102.552784
In Time for Press , USA,29.4241219,-98.49362819999999
The National Guard Encampment at Fort Riley , USA,38.8857922,-94.6259937
His Double Treasure ,Bermuda,32.3078,-64.7505
Italian Blood , USA,40.86426650000001,-73.96208229999999
Künstlerliebe , Germany,52.4880968,13.2207313
The Bari Tribe ,Sudan,12.862807,30.217636
Viaje del señor Madero al sur ,Mexico,23.634501,-102.552784
Il granatiere Roland ,Russia,61.52401,105.318756
Mary's Strategem , USA,29.4241219,-98.49362819999999
The Crimson Scars , USA,29.4241219,-98.49362819999999
Three of a Kind I), USA,38.8784456,-104.8697878
Second Sight ,Cuba,21.521757,-77.781167
The Rose of Kentucky , USA,40.86426650000001,-73.96208229999999
A Romance of the Cliff Dwellers , USA,38.8597127,-104.9171989
Finnland , Finland,61.1695977,28.7645463
The Tribe's Penalty , USA,34.0194543,-118.4911912
Flames and Fortune , USA,40.9114882,-73.7823549
Corrida de Fuentes Gaona y Ostioncito ,Mexico,23.634501,-102.552784
A Woman Scorned , USA,40.8509333,-73.9701381
A Prisoner of Mexico , USA,34.1425078,-118.255075
The Mission Waif , USA,34.3541659,-119.0592705
When the Sun Went Out , USA,34.1425078,-118.255075
Tony the Greaser , USA,29.4241219,-98.49362819999999
Off the Coast of Maine , USA,45.253783,-69.4454689
