film,country,lat,long
"Breakfast with Frost"  {(2004-07-11)}, UK,52.3555177,-1.1743197
"60 Minutes"  {Act of God (#11.24)}, New Zealand,-38.98987109999999,175.8087485
"Breakfast with Frost"  {(2002-07-07)}, UK,52.3555177,-1.1743197
"CNN Morning News"  {CNN Airport Channel Morning News Show}, USA,33.7489954,-84.3879824
"Cafe Americain"  {Le Date (#1.14)}, USA,34.147868,-118.3410385
"Bill Nye the Science Guy"  {Phases of Matter (#1.8)}, USA,47.5602678,-122.3845114
"Bill Nye the Science Guy"  {Momentum (#2.17)}, USA,47.6062095,-122.3320708
"Breakfast with Frost"  {(2001-11-25)}, UK,52.3555177,-1.1743197
"Bill Nye the Science Guy"  {The Earth's Crust (#1.2)}, USA,47.5602678,-122.3845114
"Breakfast with Frost"  {(2003-01-26)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2003-08-10)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2002-09-08)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2003-05-11)}, UK,52.3555177,-1.1743197
"Bill Nye the Science Guy"  {Flowers (#4.10)}, USA,47.6062095,-122.3320708
"Crónicas de una generación trágica"  {4a crónica: El florero de Llorente (1810) (#1.4)}, Colombia,5.723205999999999,-72.84908899999999
"Breakfast with Frost"  {(2003-02-16)}, UK,52.3555177,-1.1743197
"Crónicas de una generación trágica"  {4a crónica: El florero de Llorente (1810) (#1.4)}, Colombia,4.5964768,-74.0746686
"Breakfast with Frost"  {(2001-08-12)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2001-07-08)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2003-04-27)}, UK,52.3555177,-1.1743197
"Café con aroma de mujer" , Colombia,11.2403547,-74.2110227
"Breakfast with Frost"  {(2001-08-16)}, UK,52.3555177,-1.1743197
"CNN Presents"  {True Believers: Life Inside the Dean Campaign}, USA,43.0389025,-87.9064736
"Breakfast with Frost"  {(2004-10-24)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2001-10-07)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2002-03-17)}, UK,52.3555177,-1.1743197
"Boy Meets World"  {Pilot (#1.1)}, USA,34.044917,-118.296672
"Bill Nye the Science Guy"  {Light Optics (#2.7)}, USA,47.5602678,-122.3845114
"Breakfast with Frost"  {(2002-07-14)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2002-11-10)}, UK,52.3555177,-1.1743197
"ARD-Exclusiv"  {Verrückte Hochzeiten - Zur Trauung nach Las Vegas}, USA,36.1699412,-115.1398296
"ARD-Exclusiv"  {U-Bahn-Sheriffs - Auf Streife in der Unterwelt}, Germany,53.5510846,9.9936819
"CNN Presents"  {Iraq War: Voices from the Home Front}, USA,33.7489954,-84.3879824
"Breakfast with Frost"  {(2003-09-28)}, UK,52.3555177,-1.1743197
"ARD-Exclusiv"  {Der Dorfdoktor - Hausbesuch beim Landarzt}, Germany,50.4492455,7.5447788
"Breakfast with Frost"  {(2001-04-22)}, UK,52.3555177,-1.1743197
"Boffins" , Australia,-33.8737167,151.1956918
"Breakfast with Frost"  {(2002-10-20)}, UK,52.3555177,-1.1743197
"Cha cha cha" , Argentina,-34.6036844,-58.3815591
"Bill Nye the Science Guy"  {Magnetism (#2.1)}, USA,47.6062095,-122.3320708
"American Justice: Target - Mafia" , USA,40.7185788,-73.98983799999999
"Bill Nye the Science Guy"  {Motion (#5.20)}, USA,47.5360554,-122.2752313
"Breakfast with Frost"  {(2002-09-01)}, UK,52.3555177,-1.1743197
"Beijing ren zai Niu Yue" , USA,40.7127753,-74.0059728
"Acapulco H.E.A.T."  {Code Name: The Stalking Horse (#1.14)}, Mexico,20.647826,-105.2400377
"Breakfast with Frost"  {(2004-10-17)}, UK,52.3555177,-1.1743197
"American Journal"  {Cults (#1.1)}, USA,34.0522342,-118.2436849
"Breakfast with Frost"  {(2001-06-03)}, UK,52.3555177,-1.1743197
"Coltrane in a Cadillac" , USA,34.0522342,-118.2436849
"Bill Nye the Science Guy"  {Climates (#3.10)}, USA,21.3155434,-157.8615682
"Breakfast with Frost"  {(2003-01-05)}, UK,52.3555177,-1.1743197
"Bill Nye the Science Guy"  {The Sun (#2.13)}, USA,35.9457734,-78.5695302
"Breakfast with Frost"  {(2004-11-14)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2001-11-11)}, UK,52.3555177,-1.1743197
"Coltrane in a Cadillac" , USA,40.7607793,-111.8910474
"CNN Presents"  {God's Warriors}, UK,51.5132397,-0.0352334
"CNN Presents"  {Iraq War: Voices from the Home Front}, USA,42.8713032,-112.4455344
"Breakfast with Frost"  {(2004-01-18)}, UK,52.3555177,-1.1743197
"Bill Nye the Science Guy"  {Friction (#3.8)}, USA,47.626396,-122.163909
"CNN Presents"  {God's Warriors}, USA,40.7127753,-74.0059728
"Breakfast with Frost"  {(2004-02-01)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2004-12-05)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2001-03-18)}, UK,52.3555177,-1.1743197
"Bill Nye the Science Guy"  {Friction (#3.8)}, USA,29.5511933,-95.0979859
"Bill Nye the Science Guy"  {Genes (#5.3)}, USA,47.6062095,-122.3320708
"Breakfast with Frost"  {(2001-07-15)}, UK,52.3555177,-1.1743197
"Acapulco H.E.A.T."  {Code Name: Easy Riders (#1.12)}, Mexico,20.6582018,-105.2483116
"Bill Nye the Science Guy"  {Earthquakes (#4.4)}, USA,47.5399822,-122.2241961
"Breakfast with Frost"  {(2002-07-21)}, UK,52.3555177,-1.1743197
"Bill Nye the Science Guy"  {Chemical Reactions (#2.4)}, USA,47.5602678,-122.3845114
"Bill Nye the Science Guy"  {Water Cycle (#3.7)}, USA,47.6062095,-122.3320708
"Apasionada" , Argentina,-34.6036844,-58.3815591
"Bill Nye the Science Guy"  {Climates (#3.10)}, USA,47.3915222,-121.392231
"60 Minutes"  {The Day the Earth Shook (#14.5)}, New Zealand,-43.5320544,172.6362254
"Breakfast with Frost"  {(2001-07-29)}, UK,52.3555177,-1.1743197
"Cafe Americain"  {Weekend at Holly's (#1.3)}, USA,34.147868,-118.3410385
"Breakfast with Frost"  {(2004-05-09)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2003-09-14)}, UK,52.3555177,-1.1743197
"Ainak Wala Jin" , Pakistan,31.5203696,74.35874729999999
"Breakfast with Frost"  {(2002-09-15)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2001-01-14)}, UK,52.3555177,-1.1743197
"Adam" , Sweden,59.32932349999999,18.0685808
"Bill Nye the Science Guy"  {Pollution Solutions (#4.7)}, USA,47.5602678,-122.3845114
"Breakfast with Frost"  {(2002-04-05)}, UK,52.3555177,-1.1743197
"Bill Nye the Science Guy"  {Storms (#5.16)}, USA,37.5565126,-77.40002009999999
"ARD-Exclusiv"  {Schlange stehen für altes Brot - Armut in Deutschland}, Germany,54.30906539999999,13.0770347
"Bill Nye the Science Guy"  {Animal Locomotion (#3.20)}, USA,47.607445,-122.3429996
"Breakfast with Frost"  {(2003-08-17)}, UK,52.3555177,-1.1743197
"Crónicas de una generación trágica"  {1a crónica: Los comuneros (1781) (#1.1)}, Colombia,5.723205999999999,-72.84908899999999
"Breakfast with Frost"  {(2002-03-03)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2003-07-20)}, UK,52.3555177,-1.1743197
"Bill Nye the Science Guy"  {Mammals (#3.13)}, USA,47.304956,-122.5215044
"Cafe Americain"  {Mommy Dearest (#1.11)}, USA,34.147868,-118.3410385
"Breakfast with Frost"  {(2003-05-18)}, UK,52.3555177,-1.1743197
"Bill Nye the Science Guy"  {Flight (#1.1)}, USA,47.517993,-122.2963839
"Bill Nye the Science Guy"  {Mammals (#3.13)}, USA,47.6189255,-122.3515204
"Bill Nye the Science Guy"  {Static Electricity (#2.5)}, USA,47.6062095,-122.3320708
"Breakfast with Frost"  {(2003-05-04)}, UK,52.3555177,-1.1743197
"Bill Nye the Science Guy"  {Populations (#3.19)}, USA,33.0974458,-116.9957227
"Bill Nye the Science Guy"  {Water Cycle (#3.7)}, USA,47.5891493,-122.3019404
"ARD-Exclusiv"  {Damenwahl bei Dieter - Für immer jung in Möllers Tanzetage}, Germany,53.5945062,10.0500125
"Breakfast with Frost"  {(2002-06-02)}, UK,52.3555177,-1.1743197
"Bill Nye the Science Guy"  {Water Cycle (#3.7)}, USA,47.6189255,-122.3515204
"Breakfast with Frost"  {(2001-04-08)}, UK,52.3555177,-1.1743197
"Acapulco H.E.A.T."  {Code Name: Honeymoon Lost (#1.3)}, Mexico,20.6582018,-105.2483116
"Bill Nye the Science Guy"  {Insects (#2.11)}, USA,47.6062095,-122.3320708
"Breakfast with Frost"  {(2003-08-31)}, UK,52.3555177,-1.1743197
"Buscando el paraíso" ,Mexico,23.634501,-102.552784
"Buenos días Madrid" , Spain,40.4167754,-3.7037902
"ARD-Exclusiv"  {Spiel mit dem Tod - Häftlingsrodeo im Staatsgefängnis}, USA,30.9554369,-91.5939039
"Coltrane in a Cadillac" , USA,40.7967244,-81.52150929999999
"Bill Nye the Science Guy"  {Dinosaurs (#1.3)}, USA,40.7813241,-73.9739882
"Breakfast with Frost"  {(#1.1)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2004-04-04)}, UK,52.3555177,-1.1743197
"Acapulco H.E.A.T."  {Code Name: Deep Six (#1.21)}, Mexico,20.6582018,-105.2483116
"CNN Morning News"  {CNNI Morning News Europe: Live from Berlin & London},Hong Kong,22.396428,114.109497
"Cartas de amor en cassette" , Argentina,-34.6036844,-58.3815591
"Bu Lai'a the Hawaiian Superman" , USA,38.939926,-119.9771868
"Bill Nye the Science Guy"  {Planets and Moons (#3.1)}, USA,29.5528391,-95.0931863
"ARD-Exclusiv"  {Frau Lückes dritter Donnerstag}, Germany,51.4818445,7.216236299999999
"Breakfast with Frost"  {(2001-11-18)}, UK,52.3555177,-1.1743197
"All in the Game" , Spain,41.3850639,2.1734035
"Breakfast with Frost"  {(2002-02-10)}, UK,52.3555177,-1.1743197
"Bill Nye the Science Guy"  {Storms (#5.16)}, USA,47.5602678,-122.3845114
"Breakfast with Frost"  {(2001-02-25)}, UK,52.3555177,-1.1743197
"Bill Nye the Science Guy"  {Climates (#3.10)}, USA,47.3923346,-121.4000942
"Bill Nye the Science Guy"  {Friction (#3.8)}, USA,47.6011701,-122.3155688
"Breakfast with Frost"  {(2004-05-23)}, UK,52.3555177,-1.1743197
"Bill Nye the Science Guy"  {Chemical Reactions (#2.4)}, USA,47.6571808,-122.3379137
"Breakfast with Frost"  {(2004-01-11)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2002-03-10)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2002-04-28)}, UK,52.3555177,-1.1743197
"CNN Presents"  {God's Warriors}, Iran,35.6891975,51.3889736
"Bill Nye the Science Guy" , USA,47.2528768,-122.4442906
"Bill Nye the Science Guy"  {Light Optics (#2.7)}, USA,47.632123,-122.315728
"Breakfast with Frost"  {(2001-01-28)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2004-03-14)}, UK,52.3555177,-1.1743197
"Acapulco H.E.A.T."  {Code Name: Rip van Winkle (#1.13)}, Mexico,20.6582018,-105.2483116
"Breakfast with Frost"  {(2002-01-27)}, UK,52.3555177,-1.1743197
"Beijing ren zai Niu Yue" , China,39.90419989999999,116.4073963
"Bill Nye the Science Guy"  {Earthquakes (#4.4)}, USA,47.6189255,-122.3515204
"Breakfast with Frost"  {(2004-09-05)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2004-10-10)}, UK,52.3555177,-1.1743197
"Cafe Americain"  {Oh Brother (#1.17)}, USA,34.147868,-118.3410385
"Bill Nye the Science Guy"  {Pollution Solutions (#4.7)}, USA,47.5911806,-122.2256685
"Breakfast with Frost"  {(2001-12-09)}, UK,52.3555177,-1.1743197
"Bill Nye the Science Guy"  {Populations (#3.19)}, USA,47.304956,-122.5215044
"Breakfast with Frost"  {(2002-10-27)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2003-08-03)}, UK,52.3555177,-1.1743197
"Bill Nye the Science Guy"  {The Moon (#1.11)}, USA,47.5602678,-122.3845114
"Breakfast with Frost"  {(2003-07-06)}, UK,52.3555177,-1.1743197
"Acapulco H.E.A.T." , Mexico,20.653407,-105.2253316
"Caesar's Challenge" , USA,36.1161685,-115.174499
"Breakfast with Frost"  {(2001-04-29)}, UK,52.3555177,-1.1743197
"Bill Nye the Science Guy"  {Gravity (#1.6)}, USA,47.5602678,-122.3845114
"Breakfast with Frost"  {(2003-03-16)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2001-05-13)}, UK,52.3555177,-1.1743197
"Bill Nye the Science Guy"  {Flight (#1.1)}, USA,47.600506,-122.3332236
"Breakfast with Frost"  {(2002-06-09)}, UK,52.3555177,-1.1743197
"Bill Nye the Science Guy"  {Lakes and Ponds (#5.10)}, USA,46.8799663,-121.7269094
"Coltrane in a Cadillac" , USA,40.7830603,-73.9712488
"Bill Nye the Science Guy"  {Light Optics (#2.7)}, USA,47.607445,-122.3429996
"American Angler" , USA,34.5199402,-105.8700901
"Cafe Americain"  {The Fashion Show (#1.18)}, USA,34.147868,-118.3410385
"Breakfast with Frost"  {(2002-02-03)}, UK,52.3555177,-1.1743197
"Acapulco H.E.A.T."  {Code Name: Easy Riders (#1.12)}, Mexico,20.6639696,-105.2531258
"Acapulco H.E.A.T."  {Code Name: Easy Riders (#1.12)}, Mexico,20.6408895,-105.2330751
"Bill Nye the Science Guy"  {Motion (#5.20)}, USA,47.5602678,-122.3845114
"ARD-Exclusiv"  {Die Kaviar-Mafia - Millionengeschäfte mit Fischeiern}, Russia,46.3588045,48.0599345
"Bill Nye the Science Guy"  {Reptiles (#2.18)}, USA,47.5602678,-122.3845114
"CNN Morning News"  {CNNI Morning News Europe: Live from Berlin & London}, USA,40.7127753,-74.0059728
"Bill Nye the Science Guy"  {The Brain (#2.14)}, USA,47.6062095,-122.3320708
"American Angler" , USA,34.0489281,-111.0937311
"Breakfast with Frost"  {(2002-12-15)}, UK,52.3555177,-1.1743197
"Bill Nye the Science Guy"  {Food Web (#2.6)}, USA,28.374694,-81.549404
"Breakfast with Frost"  {(2003-06-01)}, UK,52.3555177,-1.1743197
"Bill Nye the Science Guy"  {Heat (#2.10)}, USA,47.5602678,-122.3845114
"Cafe Americain"  {Deck the Halls with Boughs of Holly (#1.12)}, USA,34.147868,-118.3410385
"Breakfast with Frost"  {(2001-01-07)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2001-10-14)}, UK,52.3555177,-1.1743197
"Bill Nye the Science Guy"  {Flight (#1.1)}, USA,47.6456308,-122.3343532
"Breakfast with Frost"  {(2001-05-20)}, UK,52.3555177,-1.1743197
"Café con aroma de mujer" , Colombia,12.5450153,-81.7075787
"Breakfast with Frost"  {(2002-05-12)}, UK,52.3555177,-1.1743197
"Acapulco H.E.A.T."  {Code Name: The Stalking Horse (#1.14)}, Mexico,20.6582018,-105.2483116
"Breakfast with Frost"  {(2001-05-27)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2003-09-07)}, UK,52.3555177,-1.1743197
"Contos das Mil e Uma Noites" ,Portugal,39.39987199999999,-8.224454
"Acapulco H.E.A.T."  {Code Name: Body Double (#1.10)}, Mexico,20.6582018,-105.2483116
"Chadshot Arutz Shtayim" , Israel,31.807585,35.080922
"Breakfast with Frost"  {(2002-04-21)}, UK,52.3555177,-1.1743197
"Coltrane in a Cadillac" , USA,39.7083789,-91.35848159999999
"Breakfast with Frost"  {(2001-02-04)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2002-11-24)}, UK,52.3555177,-1.1743197
"Crónicas de una generación trágica" , Colombia,4.5964768,-74.0746686
"60 Minutes"  {Lord of the Rings/Sex the City & My Mum (#12.19)}, New Zealand,-45.0311622,168.6626435
"Bill Nye the Science Guy"  {Amphibians (#4.13)}, USA,47.6681464,-122.3508373
"Breakfast with Frost"  {(2004-12-19)}, UK,52.3555177,-1.1743197
"Bill Nye the Science Guy"  {The Earth's Crust (#1.2)}, USA,47.6189255,-122.3515204
"Breakfast with Frost"  {(2001-12-23)}, UK,52.3555177,-1.1743197
"Crónicas de una generación trágica" , Colombia,6.635848999999999,-73.223409
"Bill Nye the Science Guy"  {Respiration (#2.20)}, USA,47.607445,-122.3429996
"Acapulco H.E.A.T."  {Code Name: Million Dollar Ladies (a.k.a. Vanished) (#1.5)}, Mexico,20.6582018,-105.2483116
"Boy Meets World" , USA,34.1453524,-118.3873465
"Bill Nye the Science Guy"  {Plants (#3.3)}, USA,47.554253,-122.329037
"ARD-Exclusiv"  {Zwangsräumung - Eine Frau hilft Mietern in Not}, Germany,51.5135872,7.465298100000001
"Bill Nye the Science Guy"  {Planets and Moons (#3.1)}, USA,47.6189255,-122.3515204
"Breakfast with Frost"  {(2004-06-06)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2004-06-20)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2004-05-30)}, UK,52.3555177,-1.1743197
"Café con aroma de mujer" , Colombia,4.710988599999999,-74.072092
"Bill Nye the Science Guy"  {Digestion (#1.7)}, USA,47.5602678,-122.3845114
"Bill Nye the Science Guy"  {Probability (#4.8)}, USA,47.6189255,-122.3515204
"Breakfast with Frost"  {(2002-12-01)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(1999-02-28)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2003-03-02)}, UK,52.3555177,-1.1743197
"Cafe Americain"  {Pilot (#1.1)}, USA,34.147868,-118.3410385
"Cafe Americain"  {Every Picture Tells a Story... Don't It? (#1.6)}, USA,34.147868,-118.3410385
"Bill Nye the Science Guy"  {Climates (#3.10)}, USA,47.5602678,-122.3845114
"Breakfast with Frost"  {(2003-02-09)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2003-04-06)}, UK,52.3555177,-1.1743197
"Crónicas de una generación trágica"  {2a crónica: Los derechos del hombre (1794) (#1.2)}, Colombia,5.723205999999999,-72.84908899999999
"Cobra" , Canada,49.2827291,-123.1207375
"Breakfast with Frost"  {(2002-05-19)}, UK,52.3555177,-1.1743197
"Cafe Americain"  {Happy Birthday to Moi (#1.5)}, USA,34.147868,-118.3410385
"Bando dos Quatro" , Portugal,38.7222524,-9.1393366
"Breakfast with Frost"  {(2003-01-12)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2004-11-28)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2001-01-21)}, UK,52.3555177,-1.1743197
"Breakfast with Frost"  {(2004-07-25)}, UK,52.3555177,-1.1743197
"Bill Nye the Science Guy"  {Water Cycle (#3.7)}, USA,33.373838,-111.973035
"Breakfast with Frost"  {(2002-11-03)}, UK,52.3555177,-1.1743197
"Bill Nye the Science Guy" , USA,47.6101497,-122.2015159
"Breakfast with Frost"  {(2004-04-25)}, UK,52.3555177,-1.1743197
"Bill Nye the Science Guy"  {Gravity (#1.6)}, USA,47.682123,-122.3397891
"Bright Ideas for Business" , USA,39.7589478,-84.1916069
"Acapulco H.E.A.T."  {Code Name: Stranded (#1.17)}, Mexico,20.6407826,-105.235911
"Civil War Journal" , USA,34.1155076,-118.7561452
"Cafe Americain"  {Home Alone (#1.7)}, USA,34.147868,-118.3410385
"Breakfast with Frost"  {(2002-12-08)}, UK,52.3555177,-1.1743197
