film,country,lat,long
"666 Park Avenue"  {The Dead Don't Stay Dead (#1.3)}, USA,40.7127753,-74.0059728
"ATSN: Stop the Threat"  {Backdoor Shootout (#8.12)}, USA,29.7604267,-95.3698028
":Presentes"  {Nacho (#1.3)}, Argentina,-34.6036844,-58.3815591
"2012 UEFA European Football Championship" , Ukraine,49.9808776,36.2615479
"ATSN: Stop the Threat"  {Fighting Back (#3.19)}, USA,29.7604267,-95.3698028
"A Brilliant Road Trip" , Australia,-33.4192822,149.5775008
"Abby & Brittany"  {Graduation (#1.4)}, USA,45.0655212,-93.2018908
"Admissions"  {How I Didn't Write My College Essay (#1.1)}, USA,42.6973815,-73.8123056
":Presentes"  {Natu (#2.7)}, Argentina,-34.6036844,-58.3815591
"ATSN: Stop the Threat"  {Change of Heart (#3.15)}, USA,29.5446753,-95.0910413
"ATSN: Stop the Threat"  {Prowler Chase (#7.3)}, USA,29.51377159999999,-95.10232320000001
"30 días juntos"  {(#1.13)}, Argentina,-34.6036844,-58.3815591
"Adam & Ève"  {La passion (#1.1)}, Canada,45.5016889,-73.567256
"Absolute X" , USA,37.7749295,-122.4194155
"ATSN: Stop the Threat"  {The Office (#2.14)}, USA,29.7604267,-95.3698028
"ATSN: Stop the Threat"  {Morning Surprise (#4.11)}, USA,29.7604267,-95.3698028
"AFF Suzuki Cup"  {Group B: Indonesia vs. Laos}, Malaysia,3.0546332,101.6913397
"AFF Suzuki Cup"  {Group A: Thailand vs. Vietnam}, Thailand,13.7554276,100.622189
"Access Sportsnet: Los Angeles" , USA,33.9191799,-118.4164652
"A Touch of Cloth" , UK,51.5451293,-0.4757643
"A Brilliant Road Trip" , Australia,-31.4949304,145.8401709
"2012 Stanley Cup Finals" , USA,34.0430058,-118.2673597
"2012 UEFA European Football Championship" , Ukraine,50.4334058,30.521856
"A Brilliant Road Trip"  {By Air or By Sea (#1.3)}, Australia,-42.1683907,148.3069102
"ATSN: Stop the Threat"  {Protective Order (#6.11)}, USA,29.7604267,-95.3698028
"A Mother's Son"  {(#1.2)}, UK,51.716249,-0.456157
"AFF Suzuki Cup" ,Thailand,15.870032,100.992541
"30 días juntos"  {(#1.6)}, Argentina,-34.6036844,-58.3815591
"Adam & Ève"  {Fantasmes (#1.13)}, Canada,45.5484714,-73.5783715
"ATSN: Stop the Threat"  {How Dare You (#6.2)}, USA,29.7604267,-95.3698028
"1002 Momentos de la tele"  {(#2.11)}, Argentina,-34.6036844,-58.3815591
"Adam & Ève"  {La passion (#1.1)}, Canada,45.5484714,-73.5783715
"ATSN: Stop the Threat"  {Bad Deal (#5.9)}, USA,29.7604267,-95.3698028
"23 pares"  {Shalom (#1.3)}, Argentina,-34.6036844,-58.3815591
"30 días juntos"  {(#1.3)}, Argentina,-34.6036844,-58.3815591
"30 for 30 Shorts"  {Holy Grail: The T206 Honus Wagner (#1.7)}, USA,40.7127753,-74.0059728
"ATSN: Stop the Threat"  {Carjacking Gone Wrong (#7.9)}, USA,29.5446753,-95.0910413
"AXS Live" ,USA,37.09024,-95.712891
"666 Park Avenue"  {Murmurations (#1.2)}, USA,40.7127753,-74.0059728
"1002 Momentos de la tele"  {(#2.2)}, Argentina,-34.6036844,-58.3815591
"ATSN: Stop the Threat"  {What's in Your Safe? (#4.9)}, USA,29.7604267,-95.3698028
"30 días juntos"  {(#1.11)}, Argentina,-34.6036844,-58.3815591
":Presentes"  {Romi (#2.8)}, Argentina,-34.6036844,-58.3815591
"10 Things I Hate" , USA,34.0522342,-118.2436849
"2012 World Series"  {Game 1 (#1.1)}, USA,37.7785951,-122.3892698
"23 pares"  {Separadas al nacer (#1.11)}, Argentina,-34.6036844,-58.3815591
"1002 Momentos de la tele"  {(#2.3)}, Argentina,-34.6036844,-58.3815591
"ATSN: Stop the Threat"  {Carjacking (#2.9)}, USA,34.2163937,-119.0376023
"Absolute X" , USA,33.7489954,-84.3879824
"A Brilliant Road Trip"  {Locally Grown (#1.2)}, Australia,-41.3851113,146.1660754
"#LdnOnt" , Canada,42.9849233,-81.2452768
"1002 Momentos de la tele"  {(#1.9)}, Argentina,-34.6036844,-58.3815591
"13 Steps Down"  {(#1.2)}, UK,52.3555177,-1.1743197
"30 for 30 Shorts"  {Holy Grail: The T206 Honus Wagner (#1.7)}, USA,33.7454725,-117.867653
"AFF Suzuki Cup"  {Semifinals: Singapore vs. Philippines}, Singapore,1.309662,103.8600859
"30 días juntos"  {(#1.12)}, Argentina,-34.6036844,-58.3815591
"Abby & Brittany" , Italy,45.4408474,12.3155151
"ATSN: Stop the Threat"  {Home Defense (#5.8)}, USA,29.7604267,-95.3698028
"7neen" , Canada,46.1367899,-60.19422399999999
"666 Park Avenue"  {Sins of the Fathers (#1.11)}, USA,40.7127753,-74.0059728
"AFF Suzuki Cup"  {Group B: Singapore vs. Laos}, Malaysia,3.0822801,101.5439295
