film,country,lat,long
Krásná vyzvedacka , Czech Republic,50.03764169999999,13.8724605
Der fesche Husar , Germany,52.52000659999999,13.404954
Hattmakarens bal , Sweden,55.4295051,13.8200308
La culture de la fraise ,France,46.227638,2.213749
Dream of Love , USA,34.0160487,-118.4037798
La culture de la fraise , France,48.9885055,2.1607451
Stop That Man , USA,34.13811680000001,-118.3533783
Sadie Thompson , USA,33.4438414,-118.4966147
Le désir , Algeria,34.8370347,5.751047499999999
Give and Take , USA,34.13811680000001,-118.3533783
Der fesche Husar , Hungary,48.1034775,20.7784384
H.M. Norjan kuninkaan Haakon VII vierailu Suomessa , Finland,60.1749786,24.9316106
Black Gold , USA,34.4828626,-97.46169169999999
Der Kampf ums Matterhorn , Switzerland,46.0207133,7.749117000000001
Siliva Zulu: Storia Negra in 5 Parti , South Africa,-27.8872252,31.4456179
St Kilda: Britain's Loneliest Isle , UK,57.8364967,-8.5635441
Eleven P.M. , USA,42.331427,-83.0457538
St Kilda: Britain's Loneliest Isle , UK,57.4484436,-6.590064099999999
The Treasurer's Report , USA,40.7127753,-74.0059728
The Docks of New York , USA,34.0837186,-118.3209528
No Ordinary Guy , USA,40.7940256,-73.9696455
The Constant Nymph ,Austria,47.516231,14.550072
The Legion of the Condemned , USA,34.1808392,-118.3089661
Synd , Sweden,59.32628369999999,18.1132093
La storia di una piccola Parigina , France,48.856614,2.3522219
Utilisation d'un coin de terre: travaux d'hiver , France,48.801408,2.130122
L'argent , France,48.936752,2.425377
Valley of the Ghosts , UK,51.6082641,-0.6426898
Jazz Mad , USA,34.13811680000001,-118.3533783
In Old Arizona , USA,34.2729782,-118.4616431
La condesa María , Morocco,35.5888995,-5.3625516
West of Paradise , USA,35.75467320000001,-118.4253627
L'artichaut , France,48.8499198,2.6370411
Odinnadtsatyy , Ukraine,47.8388,35.139567
Przeznaczenie , Poland,58.48795200000001,19.863281
The Foreign Legion , USA,34.13811680000001,-118.3533783
In Old Arizona , USA,34.0489281,-111.0937311
The Big City , USA,34.0160487,-118.4037798
De brouwerijen van Katanga , Democratic Republic Of Congo,-8.8851145,26.419389
Gentlemen Prefer Blondes , USA,40.7568434,-73.9244921
The Smart Set , USA,34.0160487,-118.4037798
Carry on Sergeant! , Canada,44.1011263,-77.576313
Vicio , Mexico,19.0414398,-98.2062727
Die Todesschleife , UK,51.5073509,-0.1277583
Carnaval de Malmédy , Belgium,50.4246396,6.0283276
Der Kampf ums Matterhorn , Switzerland,45.92331009999999,7.833637899999999
Culture du melon , France,48.8499198,2.6370411
La carpe sélectionnée , France,45.389247,3.941005
La condesa María , Spain,40.4167754,-3.7037902
The Shopworn Angel , USA,40.5755438,-73.9707016
La condesa María , Spain,37.3890924,-5.9844589
Barreiro , Portugal,38.7232173,-9.005404799999999
Varsity , USA,40.3439888,-74.6514481
H.M. Norjan kuninkaan Haakon VII vierailu Suomessa , Finland,60.1676653,24.9536778
Girl-Shy Cowboy , USA,36.5677116,-118.0898097
Krásná vyzvedacka , Austria,47.80949,13.05501
The Crowd , USA,40.7830603,-73.9712488
The Noose , USA,34.1519315,-118.3365354
Le diable au coeur , France,49.418762,0.233262
Show People , USA,34.0160487,-118.4037798
