film,country,lat,long
Lumpacivagabundus , Austria,48.3976064,15.5197381
Le roman d'un tricheur , Monaco,43.7400718,7.426643599999999
Wierna rzeka ,Poland,51.919438,19.145136
Sunkist Stars at Palm Springs , USA,33.8302961,-116.5452921
Klondike Annie , USA,34.089696,-118.335049
Así es la mujer ,Mexico,23.634501,-102.552784
Marihuana I), USA,34.0968699,-118.3378393
Lucky Fugitives , Canada,48.4742034,-123.3623618
Desert Justice , USA,34.33472200000001,-118.396389
Along the Lifeline of the British Empire: Suez Malta Gibraltar , Egypt,30.59363299999999,32.4465671
Drei Mäderl um Schubert , Austria,48.2081743,16.3738189
My Man Godfrey , USA,34.13811680000001,-118.3533783
Libeled Lady , USA,37.9829496,-120.3821724
The Last Journey , UK,52.3555177,-1.1743197
Waldwinter , Poland,50.74977699999999,16.410846
O Céu do Brasil na Capital da República , Brazil,-22.9068467,-43.1728965
El rosal bendito ,Mexico,23.634501,-102.552784
Allotria , Monaco,43.7400718,7.426643599999999
Le disque 413 , UK,51.50851,-0.3068
Hearts in Bondage , USA,34.13811680000001,-118.3533783
Hats Off , USA,34.1630308,-118.2867607
The Zeppelin 'Hindenburg' , USA,40.014561,-74.3112574
1936 Pittsburgh Flood , USA,40.44062479999999,-79.9958864
The Gorgeous Hussy , USA,34.0160487,-118.4037798
Visages de France , France,48.856614,2.3522219
Havi 200 fix , Hungary,47.9025348,20.3772284
Flash Gordon , USA,34.1213309,-118.3143371
Timothy's Quest , USA,34.0837186,-118.3209528
Swing Time , USA,34.040713,-118.2467693
Can You Imagine? , USA,42.0584412,-70.1786425
Die letzten Vier von Santa Cruz , Spain,28.2915637,-16.6291304
Straight from the Shoulder , USA,38.939926,-119.9771868
Fury and the Woman , Canada,49.6506376,-125.4493906
The Last Journey , UK,51.455612,-0.31888
The Princess Comes Across , USA,34.0837186,-118.3209528
Der Dschungel ruft , Germany,54.3519967,13.3630491
West Point of the South , USA,37.788981,-79.43946
The Mine with the Iron Door , USA,34.5362184,-117.2927641
Coup de vent ,Italy,41.87194,12.56738
Pohjalaisia , Finland,60.54252220000001,25.3808969
The Story of Louis Pasteur , USA,34.1519315,-118.3365354
Judas ,Mexico,23.634501,-102.552784
The Arizona Raiders , USA,34.1155076,-118.7561452
The Charge of the Light Brigade , USA,37.9829496,-120.3821724
VMV 6 , Finland,60.3931919,25.6652739
The Vigilantes Are Coming , USA,33.3631819,-117.0846863
Cavalry , USA,35.75467320000001,-118.4253627
Everyman's Law , USA,36.5677116,-118.0898097
Freshman Love , USA,34.1519315,-118.3365354
Kakos dromos , Turkey,41.0082376,28.9783589
Lentelied , Netherlands,51.9244201,4.4777326
Maly marynarz , Poland,54.5188898,18.5305409
Earthworm Tractors , USA,34.13655440000001,-118.2942
Marigold  (TV), UK,51.5941783,-0.1307733
Rhythm on the Range , USA,36.5677116,-118.0898097
Dodging the Dole , UK,51.55141800000001,-0.1145495
The Avenging Hand , UK,51.79241,-0.210988
High Lights of the 1936 Olympics Berlin , Germany,52.52000659999999,13.404954
O Preparo da Vaccina Contra a Raiva , Brazil,-22.9068467,-43.1728965
Rubber , Indonesia,3.6630448,98.6955443
The Little Red Schoolhouse , USA,34.0239976,-118.3923867
Gold Diggers of 1937 , USA,34.1519315,-118.3365354
The Texas Rangers , USA,35.6869752,-105.937799
The Case of the Black Cat , USA,34.1519315,-118.3365354
Evocación ,Mexico,23.634501,-102.552784
Für Ehre Freiheit Frieden - Zeppeline im Wahlkampf , Germany,51.43732490000001,7.767100300000001
Oh Susanna! , USA,35.75467320000001,-118.4253627
For the Love of Pete , USA,40.7127753,-74.0059728
