film,country,lat,long
"A History of Horror with Mark Gatiss"  {The American Scream (#1.3)}, UK,51.4684996,-0.2116019
"After Hours"  {The Creepiest 90's Sitcom Characters (#2.4)}, USA,34.12334200000001,-118.2693477
"Alguien que me quiera"  {(#1.10)}, Argentina,-34.6036844,-58.3815591
"A History of Horror with Mark Gatiss"  {Frankenstein Goes to Hollywood (#1.1)}, USA,34.0149382,-118.2861984
"Alguien que me quiera"  {(#1.150)}, Argentina,-34.6036844,-58.3815591
"18 to Life" , Canada,45.5016889,-73.567256
"Alguien que me quiera"  {(#1.97)}, Argentina,-34.6036844,-58.3815591
"American Pickers"  {California Dreamin' (#3.11)}, USA,33.1958696,-117.3794834
"After Hours"  {Why Batman Is Secretly Terrible for Gotham (#1.9)}, USA,34.1307266,-118.2163581
"A Traveler's Guide to the Planets"  {Saturn (#1.2)}, Space,29.4991635,-95.11322249999999
"2010 World Series" , USA,37.7785951,-122.3892698
"Alguien que me quiera"  {(#1.113)}, Argentina,-34.6036844,-58.3815591
"A Traveler's Guide to the Planets" , Chile,-23.8634189,-69.1328491
"A Traveler's Guide to the Planets" ,France,46.227638,2.213749
"Alive! With Adventure Aaron" , USA,25.0273356,-81.5357506
"Alamaailma Trilogia: Vanki" , Finland,60.19405479999999,24.9693483
"4-Stjerners Reise" , France,43.7101728,7.261953200000001
"America: The Story of Us"  {Revolution (#1.2)},South Africa,-30.559482,22.937506
"Almost Vixens" , USA,36.778261,-119.4179324
"71° nord - Norges tøffeste kjendis" , Norway,59.05153139999999,8.5620674
"A Traveler's Guide to the Planets" ,Russia,61.52401,105.318756
"101 Ways to Leave a Gameshow" , Argentina,-34.425087,-58.57965850000001
"Alguien que me quiera"  {(#1.38)}, Argentina,-34.6036844,-58.3815591
"Acid Tests" , USA,40.6781784,-73.9441579
"After Hours"  {Which Monster Is Scariest? (#1.12)}, USA,34.12334200000001,-118.2693477
"A Window Looking In" , Canada,49.3974171,-123.5152222
"40 y tantos" , Chile,-33.4488897,-70.6692655
"2010 FIFA World Cup" , South Africa,-29.8289571,31.0303869
"A Traveler's Guide to the Planets" ,Australia,-25.274398,133.775136
"Alguien que me quiera"  {(#1.54)}, Argentina,-34.6036844,-58.3815591
"Alguien que me quiera"  {(#1.72)}, Argentina,-34.6036844,-58.3815591
"Airplane Repo"  {International Situation}, USA,41.4730948,-87.0611412
"Alguien que me quiera"  {(#1.1)}, Argentina,-34.6036844,-58.3815591
"Alguien que me quiera"  {(#1.24)}, Argentina,-34.6036844,-58.3815591
"Alguien que me quiera"  {(#1.115)}, Argentina,-34.6036844,-58.3815591
"Alguien que me quiera"  {(#1.142)}, Argentina,-34.6036844,-58.3815591
"A History of Horror with Mark Gatiss"  {The American Scream (#1.3)}, USA,34.0928092,-118.3286614
"25 miradas 200 minutos"  {Hija del sol (#1.8)}, Argentina,-34.6036844,-58.3815591
"Alguien que me quiera"  {(#1.86)}, Argentina,-34.6036844,-58.3815591
"Alguien que me quiera"  {(#1.53)}, Argentina,-34.6036844,-58.3815591
"After Hours"  {Why Forrest Gump Is Secretly Horrifying (#4.12)}, USA,34.0954877,-117.717652
"Allein gegen die Zeit" , Germany,52.52000659999999,13.404954
"2010 FIFA World Cup" , South Africa,-25.5786704,27.1608635
"Alguien que me quiera"  {(#1.120)}, Argentina,-34.6036844,-58.3815591
"A Traveler's Guide to the Planets"  {Saturn (#1.2)}, Space,29.4996932,-95.1132945
"Alguien que me quiera"  {(#1.157)}, Argentina,-34.6036844,-58.3815591
"$#*! My Dad Says"  {Code Ed (#1.4)}, USA,34.1519315,-118.3365354
"A Window Looking In" , Canada,49.2827291,-123.1207375
"Alguien que me quiera"  {(#1.32)}, Argentina,-34.6036844,-58.3815591
"After Hours"  {The Worst Acts of Animal Cruelty in Children's Entertainment (#2.6)}, USA,34.12334200000001,-118.2693477
"Alguien que me quiera"  {(#1.101)}, Argentina,-34.6036844,-58.3815591
"37" ,Portugal,39.39987199999999,-8.224454
"4thought.tv" , UK,51.5073509,-0.1277583
"Alguien que me quiera"  {(#1.96)}, Argentina,-34.6036844,-58.3815591
"Alguien que me quiera"  {(#1.56)}, Argentina,-34.6036844,-58.3815591
"A Traveler's Guide to the Planets" ,Italy,41.87194,12.56738
"Alamaailma Trilogia: Vanki" , Finland,60.16985569999999,24.9383791
"After Hours"  {The Worst Lesson Disney Movies Teach Kids (#2.12)}, USA,34.2053785,-118.2259346
"After Hours"  {Star Wars Is Terrifying for Women (#1.7)}, USA,34.1307266,-118.2163581
"A Passionate Woman"  {(#1.1)}, UK,53.92439479999999,-1.8217493
"After Hours"  {Confusicals! (#3.5)}, USA,34.12334200000001,-118.2693477
"Alguien que me quiera"  {(#1.109)}, Argentina,-34.6036844,-58.3815591
"Alguien que me quiera"  {(#1.186)}, Argentina,-34.6036844,-58.3815591
"Alguien que me quiera"  {(#1.50)}, Argentina,-34.6036844,-58.3815591
"A Night at the Classic" , New Zealand,-36.8537379,174.7628078
"A History of Horror with Mark Gatiss"  {Home Counties Horror (#1.2)}, UK,51.49282210000001,-0.6760417
"Alpha 0.7 - Der Feind in dir"  {Schizophren (#1.2)}, Germany,48.7758459,9.1829321
"ASIA Exposed" ,China,35.86166,104.195397
"4Play: Sex Tips for Girls" , South Africa,-26.2041028,28.0473051
"25 fotogramas" , Spain,40.4347128,-3.7119928
"Aftermath"  {World Without Oil}, USA,42.2161722,-83.3553842
"Airplane Repo"  {International Situation}, USA,44.80118210000001,-68.77781379999999
"Affaires étrangères"  {Maroc (#1.2)}, Morocco,33.5731104,-7.589843399999999
"Alguien que me quiera"  {(#1.154)}, Argentina,-34.6036844,-58.3815591
"Allou ximeromenoi" , Cyprus,34.9922836,34.0140113
"A Night at the Classic"  {(#2.1)}, New Zealand,-36.8536824,174.7629669
"Alguien que me quiera"  {(#1.62)}, Argentina,-34.6036844,-58.3815591
"Alguien que me quiera"  {(#1.58)}, Argentina,-34.6036844,-58.3815591
"Airplane Repo"  {International Situation}, France,46.811434,1.686779
"Alguien que me quiera"  {(#1.28)}, Argentina,-34.6036844,-58.3815591
"Alguien que me quiera"  {(#1.77)}, Argentina,-34.6036844,-58.3815591
"Alguien que me quiera"  {(#1.65)}, Argentina,-34.6036844,-58.3815591
"1 Non Blonde" ,New Zealand,-40.900557,174.885971
"After Hours"  {Why the Harry Potter Universe Is Secretly Terrifying (#1.4)}, USA,34.1307266,-118.2163581
"Alguien que me quiera"  {(#1.124)}, Argentina,-34.6036844,-58.3815591
"Aiko & Jack Go to ..." , Netherlands,53.2193835,6.5665017
"Alive! With Adventure Aaron" ,Egypt,26.820553,30.802498
"A Good Knight's Quest" , USA,34.0555693,-117.1825381
"After Hours"  {Which Apocalypse Would Be the Most Fun? (#1.3)}, USA,34.1307266,-118.2163581
"Always a Bridesmaid" , Canada,49.2548957,-122.9352977
"Alguien que me quiera"  {(#1.95)}, Argentina,-34.6036844,-58.3815591
"American Pickers"  {The Pick the Pawn and the Polish (#4.4)}, USA,36.1699412,-115.1398296
"American Pickers"  {Red White and Blues (#13.17)}, USA,41.953669,-87.7135814
"71° nord - Norges tøffeste kjendis" , Norway,57.9445212,7.120799
"Alamaailma Trilogia: Vanki" , Finland,60.1590139,24.9614652
"Alive! With Adventure Aaron" ,Costa Rica,9.748916999999999,-83.753428
"After Hours"  {Why Star Trek Is a Dystopia (#2.5)}, USA,34.12334200000001,-118.2693477
"Adios al septimo de linea" , Chile,-23.8634189,-69.1328491
"Above Santa Barbara" , USA,34.6144313,-120.079868
"Alguien que me quiera"  {(#1.141)}, Argentina,-34.6036844,-58.3815591
"Above Santa Barbara" , USA,34.4366626,-119.6320753
"Alle Jahre wieder" , Germany,48.5883792,8.606063299999999
"Airplane Repo"  {Best in the Business}, USA,41.4730948,-87.0611412
"Alguien que me quiera"  {(#1.112)}, Argentina,-34.6036844,-58.3815591
"Alguien que me quiera"  {(#1.6)}, Argentina,-34.6036844,-58.3815591
"Adolfo Suárez" , Spain,40.4167754,-3.7037902
"A Taste of Honey TV" , USA,37.5407246,-77.4360481
"Alguien que me quiera"  {(#1.88)}, Argentina,-34.6036844,-58.3815591
"Alguien que me quiera"  {(#1.18)}, Argentina,-34.6036844,-58.3815591
"25 miradas 200 minutos"  {El héroe al que nadie quiso (#1.1)}, Argentina,-34.6036844,-58.3815591
"Alive! With Adventure Aaron" ,South Africa,-30.559482,22.937506
"Adventure Dive Komodo" ,Indonesia,-0.789275,113.921327
"25 miradas 200 minutos"  {Una vez más (#1.23)}, Argentina,-34.6036844,-58.3815591
"$#*! My Dad Says"  {The Better Father (#1.13)}, USA,34.1519315,-118.3365354
"A Gurls Wurld"  {(#1.10)}, Germany,53.54879340000001,9.9647651
"Agua bendita" ,Philippines,12.879721,121.774017
"101 Dates" , New Zealand,-41.2864603,174.776236
"A Different Spin with Mark Hoppus" , USA,40.7505045,-73.9934387
"Alguien que me quiera"  {(#1.59)}, Argentina,-34.6036844,-58.3815591
"Alpha 0.7 - Der Feind in dir"  {Prenzinger (#1.1)}, Germany,48.7758459,9.1829321
"45 Min"  {Sexobjekt Kind (#1.1)}, Germany,52.52000659999999,13.404954
"A Traveler's Guide to the Planets" ,USA,37.09024,-95.712891
"A Passionate Woman"  {(#1.2)}, UK,53.8294104,-1.5058778
"Airplane Repo"  {International Situation}, Portugal,36.9788003,-25.1059054
"$#*! My Dad Says"  {Ed Goes to Court (#1.15)}, USA,34.1519315,-118.3365354
"ASIA Exposed" ,Philippines,12.879721,121.774017
"A Traveler's Guide to the Planets"  {Jupiter (#1.1)},Germany,51.165691,10.451526
"After Hours"  {How Breakfast Cereal Mascots Brainwashed You (#1.5)}, USA,34.1307266,-118.2163581
"A History of Horror with Mark Gatiss"  {Home Counties Horror (#1.2)}, UK,51.490146,-0.672362
"Agorà" , Italy,41.9027835,12.4963655
"A Traveler's Guide to the Planets" ,Netherlands,52.132633,5.291265999999999
"Airplane Repo"  {Best in the Business}, USA,25.7616798,-80.1917902
"Alguien que me quiera"  {(#1.69)}, Argentina,-34.6036844,-58.3815591
"A Traveler's Guide to the Planets" ,Arctic,76.2505778,-100.113952
"Adventure Dive Komodo" , Australia,-27.6728168,121.6283098
"25 miradas 200 minutos"  {Gente querible (#1.7)}, Argentina,-34.6036844,-58.3815591
"86'd" , USA,34.1395597,-118.3870991
"A Passionate Woman"  {(#1.2)}, UK,53.8121178,-1.5693069
"1 vs. 100" , USA,34.0522342,-118.2436849
"Allein gegen die Zeit"  {8:00 (#2.1)}, Germany,52.52000659999999,13.404954
"Alguien que me quiera"  {(#1.89)}, Argentina,-34.6036844,-58.3815591
"After Hours"  {The Best Super Power (Is Not What You Think) (#1.10)}, USA,34.1307266,-118.2163581
"Alguien que me quiera"  {(#1.126)}, Argentina,-34.6036844,-58.3815591
"Alguien que me quiera"  {(#1.11)}, Argentina,-34.6036844,-58.3815591
"After Hours"  {Is 007 a Bad Employee? (#2.11)}, USA,34.12334200000001,-118.2693477
"Alguien que me quiera"  {(#1.44)}, Argentina,-34.6036844,-58.3815591
"Alguien que me quiera"  {(#1.9)}, Argentina,-34.6036844,-58.3815591
"2010 FIFA World Cup" , South Africa,-29.11761599999999,26.208747
"Alguien que me quiera"  {(#1.31)}, Argentina,-34.6036844,-58.3815591
"4-Stjerners Reise" , Croatia,42.65066059999999,18.0944238
"A Traveler's Guide to the Planets"  {Jupiter (#1.1)},France,46.227638,2.213749
"Alguien que me quiera"  {(#1.68)}, Argentina,-34.6036844,-58.3815591
"Alhassan and Alhoussain" ,Lebanon,33.854721,35.862285
"Alguien que me quiera"  {(#1.37)}, Argentina,-34.6036844,-58.3815591
"A History of Horror with Mark Gatiss"  {Home Counties Horror (#1.2)}, UK,51.58494899999999,-0.9618599999999999
"After Hours"  {Which Alternate Dimension Would You Choose to Live In? (#4.6)}, USA,34.12334200000001,-118.2693477
"Achas Que Sabes Dançar?" , Portugal,39.74953310000001,-8.807682999999999
"Alle Jahre wieder"  {(#1.4)}, Germany,53.3923162,10.0043163
"Alhassan and Alhoussain" ,Morocco,31.791702,-7.092619999999999
"Airplane Repo"  {International Situation}, Canada,48.6064556,-56.3330408
"$#*! My Dad Says"  {Wi-Fight (#1.2)}, USA,34.1519315,-118.3365354
"After Hours"  {Why Indiana Jones' Secrecy Is Terrifying (#2.9)}, USA,34.12334200000001,-118.2693477
"American Pickers"  {For a Few Dollars More (#11.4)}, USA,40.4849769,-106.8317158
"After Hours"  {Who Would Survive in a Quentin Tarantino Universe (#3.7)}, USA,34.12334200000001,-118.2693477
"A Traveler's Guide to the Planets" , UK,52.3555177,-1.1743197
"4-Stjerners Reise" , Italy,43.7710513,11.2486208
"About Abby" , USA,34.0928092,-118.3286614
"All Shook Up!" , UK,51.47896799999999,-3.705163
"Alguien que me quiera"  {(#1.151)}, Argentina,-34.6036844,-58.3815591
"Alguien que me quiera"  {(#1.153)}, Argentina,-34.6036844,-58.3815591
