film,country,lat,long
"Meet Mr. McNutley"  {New Dresses (#1.16)}, USA,34.1441795,-118.3906594
"ABC Evening News"  {(2015-11-05)},USA,37.09024,-95.712891
"The United States Steel Hour"  {Outcast (#3.10)}, USA,40.7127753,-74.0059728
Beat the Devil , Italy,40.6491886,14.6117112
"ABC Evening News"  {(2015-09-07)},USA,37.09024,-95.712891
"The Philip Morris Playhouse"  {Up for Parole (#1.19)}, USA,40.7127753,-74.0059728
"Zum ersten zum zweiten und zum..." , Germany,51.236008,6.771204
"ABC Evening News"  {(2014-01-16)},USA,37.09024,-95.712891
"General Electric Theater"  {Hot Footage (#8.33)}, USA,34.13811680000001,-118.3533783
"Westward Ho!"  {(#1.12)}, UK,51.4610169,-2.607871
"General Electric Theater"  {The Honest Man (#4.21)}, USA,34.1441795,-118.3906594
"Panorama"  {The Real Apprentices (#55.36)}, UK,52.3555177,-1.1743197
"General Electric Theater"  {The Eye of the Beholder (#2.13)}, USA,34.1441795,-118.3906594
"Rod Brown of the Rocket Rangers"  {The Phantom Cloud of Calistro (#1.13)}, USA,40.7127753,-74.0059728
"Panorama"  {Medicine's Missing Millions (#45.1)}, UK,52.3555177,-1.1743197
"Meet Mr. McNutley"  {(#1.7)}, USA,34.1441795,-118.3906594
"The United States Steel Hour"  {Operation Three R's (#3.27)}, USA,40.7127753,-74.0059728
"Person to Person"  {(#6.22)}, USA,38.9071923,-77.0368707
"Kraft Television Theatre"  {Alias Jimmy Balentine (#1.2)}, USA,40.7127753,-74.0059728
Afrika I. - Z Maroka na Kilimandzaro ,Libya,26.3351,17.228331
"General Electric Theater"  {The World's Greatest Quarterback (#7.5)}, USA,34.1441795,-118.3906594
"Make Room for Daddy"  {Kathy the Matchmaker (#8.6)}, USA,34.0863381,-118.3285508
"ABC Evening News"  {(2011-01-28)},USA,37.09024,-95.712891
"ABC Evening News"  {(2014-05-29)},USA,37.09024,-95.712891
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde , USA,34.13811680000001,-118.3533783
"City Detective"  {Man Down Woman Screaming (#2.28)}, USA,34.1441795,-118.3906594
"Panorama"  {Credit Where It's Due (#57.8)}, UK,52.3555177,-1.1743197
"Meet Mr. McNutley"  {The TV Story (#2.13)}, USA,34.1441795,-118.3906594
"Make Room for Daddy"  {Jose's Guided Tour (#10.22)}, USA,34.0863381,-118.3285508
"ABC Evening News"  {6 Tips for the Unemployed},USA,37.09024,-95.712891
"ABC Evening News"  {(2014-06-24)},USA,37.09024,-95.712891
"Kraft Television Theatre"  {Smilin' Through (#1.10)}, USA,40.7127753,-74.0059728
A Blueprint for Murder , USA,40.7143033,-74.0015086
"General Electric Theater"  {The Wish Book (#10.7)}, USA,34.13811680000001,-118.3533783
"ABC Evening News"  {(2015-09-01)},USA,37.09024,-95.712891
"General Electric Theater"  {Adam's Apples (#8.29)}, USA,34.13811680000001,-118.3533783
"Panorama"  {Jungle Outlaws: Chainsaw Trail (#61.26)}, UK,52.3555177,-1.1743197
"The Strawhatters" , USA,40.8481556,-73.99763899999999
"Make Room for Daddy"  {The Leprechaun (#11.23)}, USA,34.0863381,-118.3285508
"Panorama"  {Can You Forgive Your MP? (#57.52)}, UK,52.3555177,-1.1743197
"Panorama"  {Eurovision's Dirty Secret (#60.19)}, UK,52.3555177,-1.1743197
"Meet Mr. McNutley"  {Hobbies (#1.18)}, USA,34.1441795,-118.3906594
"ABC Evening News"  {(2016-02-17)},USA,37.09024,-95.712891
"The United States Steel Hour"  {A Matter of Pride (#4.17)}, USA,40.7127753,-74.0059728
"Make Room for Daddy"  {Louise to the Rescue (#10.26)}, USA,34.0863381,-118.3285508
"Panorama"  {(#1.2)}, UK,52.3555177,-1.1743197
"The Pepsi-Cola Playhouse"  {Open Season (#1.25)}, USA,34.1441795,-118.3906594
"Panorama"  {The Trauma Industry (#57.32)}, UK,52.3555177,-1.1743197
"General Electric Theater"  {Man on a Bicycle (#7.15)}, USA,34.1441795,-118.3906594
"Panorama"  {Did the Bank Wreck My Business? (#62.44)}, UK,52.3555177,-1.1743197
"ABC Evening News"  {(2014-08-03)},USA,37.09024,-95.712891
"Teatr telewizji" , Poland,51.1078852,17.0385376
"Tonight!"  {Henry Morgan Guest Host (#4.255)}, USA,40.75695839999999,-73.9847551
