film,country,lat,long
Twelfth Regiment N.G.S.N.Y. , USA,40.7127753,-74.0059728
M.H. Pope Leo in a Chair ,Vatican City,41.902916,12.453389
1st Regiment N.Y.V. , USA,40.72815749999999,-74.0776417
Enclosure Clubs and Towing Path , UK,51.535764,-0.902894
The Rivals I), USA,40.7127753,-74.0059728
Launch of the Great Battleship Alabama , USA,39.9525839,-75.1652215
Royal Mail Route to the Gold Fields ,South Africa,-30.559482,22.937506
View of Cramp's Shipyard , USA,39.9525839,-75.1652215
A Poor Start , USA,40.3658611,-73.9767375
Merlin the Magician , USA,40.7127753,-74.0059728
Corbett and Sharkey Fight , USA,40.7127753,-74.0059728
Allegorical Floats , USA,39.9525839,-75.1652215
Newport News Ship-Building Co.'s Shipyard , USA,36.8507689,-76.28587259999999
Steamship 'Olivette' , Cuba,23.1135925,-82.3665956
Tram Ride Through Cape Town , South Africa,-33.9248685,18.4240553
Rocky Mountain Riders Rough Riding , USA,30.3321838,-81.65565099999999
Corporation Street , UK,53.4807593,-2.2426305
'Way Down South , USA,29.95106579999999,-90.0715323
Ostriches Running No. 2 , USA,34.1477849,-118.1445155
The Men Behind the Guns , USA,43.73867569999999,-74.0487476
Cruiser Columbia , USA,39.9525839,-75.1652215
Lasso Throwing , USA,30.3321838,-81.65565099999999
The 'Jennie Deans' , UK,51.64761499999999,-0.35842
Freight Train , USA,34.9592083,-116.419389
Panorama of Barnstaple , UK,51.0781599,-4.058338
Wreck of the 'Vizcaya' , Cuba,20.01693,-75.8301537
An Overloaded Donkey , USA,40.8509333,-73.9701381
Alahazrat buxara amirinin 'veliki knyaz Aleksey' paroxodunda yolasalma marasimi , Azerbaijan,40.40926169999999,49.8670924
Launching of the 'Kearsage' , USA,37.0870821,-76.4730122
U.S. Battleship 'Oregon' I), USA,40.7620232,-74.0025249
Cleveland Commandery Cleveland O. , USA,40.44062479999999,-79.9958864
How Uncle Reuben Missed the Fishing Party , USA,40.3658611,-73.9767375
Shooting the Long Sault Rapids , USA,43.2994285,-74.21793260000001
Officers and Crew of the U.S. Cruiser 'Brooklyn' , USA,40.6781784,-73.9441579
The 'Massachusetts' Naval Parade , USA,40.7127753,-74.0059728
Street Scene , UK,53.4807593,-2.2426305
Naval Constructor Richmond P. Hobson and the Crew of the Merrimac , USA,39.9525839,-75.1652215
Poona Races 1898 , India,18.5204303,73.8567437
How Farmer Jones Made a Hit at Pleasure Bay , USA,40.3658611,-73.9767375
A Texas Steer , USA,41.8781136,-87.6297982
Cañon of the Rio Grande , USA,31.9685988,-99.9018131
Going Through the Tunnel , USA,34.0296186,-118.2399433
A Street Arab , USA,40.7127753,-74.0059728
La mise en croix , France,45.764043,4.835659
The Fatal Letter , USA,40.7127753,-74.0059728
He Caught More Than He Was Fishing For , USA,40.3658611,-73.9767375
Gen. Fitzhugh Lee and Staff , USA,30.3321838,-81.65565099999999
Race Between a Multicycle and a Horse , USA,43.0481221,-76.14742439999999
Observation Train Following Parade , USA,40.7127753,-74.0059728
Capture of a Spanish Fort Near Santiago , Cuba,20.01693,-75.8301537
Lawn Tennis in Florida , USA,27.950575,-82.4571776
Visite sous-marine du Maine , Cuba,23.1135925,-82.3665956
Feeding Sea Gulls , USA,37.6909682,-122.3107517
Tulburarile mersului in hemiplegia organica , Romania,44.4267674,26.1025384
John A. Dix Post G.A.R. , USA,40.7127753,-74.0059728
Famous Battleship Captains: Philadelphia Peace Jubilee Parade , USA,39.9525839,-75.1652215
Me and Jack , USA,40.3658611,-73.9767375
A Three Masted Schooner , USA,40.7127753,-74.0059728
Canton Steamboat Landing Chinese Passengers , Sweden,59.6132041,16.2294755
Station on a South African Railway ,South Africa,-30.559482,22.937506
La alameda , Mexico,19.4326077,-99.133208
Military Camp at Tampa Taken from Train , USA,27.950575,-82.4571776
Down Ilfracombe Incline , UK,51.205163,-4.126761999999999
Statue of Liberty , USA,40.6895453,-74.0449292
Illinois Central Terminal , USA,41.8781136,-87.6297982
California Limited A.T. & S.F.R.R. , USA,34.1397292,-118.0353449
Free Tobacco , USA,27.7500796,-81.7857416
Cape Town to Seapoint by Tram , South Africa,-33.9248685,18.4240553
U.S. Troops Landing at Daiquiri Cuba , Cuba,23.1374058,-82.3573503
A Charge by Cavalry , USA,27.950575,-82.4571776
32nd Regiment Michigan Volunteers , USA,34.7303688,-86.5861037
New York Police on Parade II), USA,40.7127753,-74.0059728
Street Fight and Arrest , USA,41.8781136,-87.6297982
Shanghai Police , China,31.2303904,121.4737021
Ride on a Trolley Car in Cape Town , South Africa,-33.9248685,18.4240553
Veteran Zouaves , USA,40.7127753,-74.0059728
A Skirmish Drill , USA,34.7303688,-86.5861037
Balaxani-Sabunçu polis idarasi süvari qorodovoylarin at oynatmalari , Azerbaijan,40.40926169999999,49.8670924
Spanish Battleship 'Viscaya' , USA,40.4333496,-73.9885498
Hebrew Orphan Asylum Band , USA,40.7127753,-74.0059728
Ready for the Bath , USA,40.5998931,-73.74484369999999
Marching Scene , USA,41.8781136,-87.6297982
Brigadier-General Fitz Hugh Lee , Cuba,23.1135925,-82.3665956
Colored Troops Disembarking , USA,27.950575,-82.4571776
Market Scene City of Mexico , Mexico,19.4326077,-99.133208
Tampa Bay Hotel Tampa Fla. , USA,27.950575,-82.4571776
The Curious Obstacle Race , UK,51.205163,-4.126761999999999
Schützenzug der privaten Schützengesellschaft in Chemnitz am 31.5.1898 , Germany,50.827845,12.9213697
69th Regiment Passing in Review , USA,27.950575,-82.4571776
Arrival of a Train at Llanrwst , UK,53.137033,-3.795732
Parade of Coaches , USA,34.1477849,-118.1445155
U.S. Cruiser 'Brooklyn' Naval Parade , USA,40.7127753,-74.0059728
Anderson Zouaves , USA,40.7127753,-74.0059728
S.S. 'Doric' , Japan,35.4437078,139.6380256
Queer Fish That Swim in the Sea , USA,40.3658611,-73.9767375
Third Pennsylvania Volunteers , USA,39.9525839,-75.1652215
Sceny wydarzen w Paryzu , France,48.856614,2.3522219
Mount Tamalpais R.R. No. 2 , USA,38.083403,-122.7633036
Company 'H' 3rd N.Y.V. , USA,27.7500796,-81.7857416
Providence Commandery Providence R.I. , USA,40.44062479999999,-79.9958864
Harbor Defenses II), USA,42.3600825,-71.0588801
Spanish Volunteers in Havana , Cuba,23.1135925,-82.3665956
The Coney Island Bikers , USA,40.5998931,-73.74484369999999
A Precarious Position , USA,40.3658611,-73.9767375
Launch U.S. Battleship 'Kentucky' , USA,37.0870821,-76.4730122
The Red Cross , USA,27.7500796,-81.7857416
Comical Scene in Queen Street Rhyl , UK,53.31914099999999,-3.491634
Sea Waves , USA,40.30427780000001,-73.9923596
Cuban Refugees Waiting for Rations , USA,27.950575,-82.4571776
Bull Fight No. 3 , Mexico,24.0277202,-104.6531759
U.S. Marines , USA,40.6781784,-73.9441579
Launch of the 'Oceanic' , UK,54.59728500000001,-5.93012
Wyscigi konne na Polu Mokotowskim , Poland,52.2296756,21.0122287
Zdjecia operacji w szpitalach Paryza , France,48.856614,2.3522219
Smích a plác , Czech Republic,50.0755381,14.4378005
Pelea de gallos , Mexico,20.5279612,-100.8112885
Repairing Streets in Mexico , Mexico,19.4326077,-99.133208
Fifth Massachusetts Volunteers , USA,27.7500796,-81.7857416
Army Mules , USA,34.7303688,-86.5861037
The Vatican Guards Rome , Italy,41.9027835,12.4963655
Police Boats Escorting Naval Parade , USA,40.7127753,-74.0059728
Mardi Gras Carnival II), USA,29.95106579999999,-90.0715323
Typical Stooking Scene , Canada,49.848471,-99.9500904
A Terrible Spill , UK,51.248366,-0.7557509
Wharf Scene Honolulu , USA,21.3069444,-157.8583333
Pope Leo XIII and Count Pecci No. 1 ,Vatican City,41.902916,12.453389
Wounded Soldiers Embarking in Row Boats , Cuba,19.9597586,-75.7087997
Mules Swimming Ashore at Daiquiri Cuba , Cuba,23.1374058,-82.3573503
The Last Stand , USA,27.7500796,-81.7857416
Stealing a Ham , USA,41.8781136,-87.6297982
Merry Sleigh Bells , USA,42.3600825,-71.0588801
Recruits of the 69th Regiment N.G.S.N.Y. , USA,34.7303688,-86.5861037
Col. Torrey's Rough Riders and Army Mules , USA,27.950575,-82.4571776
Troop 'A'; N.G.S.N.Y. , USA,40.7127753,-74.0059728
Sikh Artillery Hong Kong , China,22.396428,114.109497
The High Street Departure of Coaches , UK,51.205163,-4.126761999999999
Bull Fight No. 2 , Mexico,24.0277202,-104.6531759
65th Regiment at Double Time , USA,34.7303688,-86.5861037
Mount Tamalpais R.R. No. 1 , USA,38.083403,-122.7633036
Armenian Archbishop Rome , Italy,41.9027835,12.4963655
Come Along Do! , UK,51.5902193,-0.1393719
Third Missouri Volunteers , USA,34.7303688,-86.5861037
Battleship 'Indiana' I), USA,40.7127753,-74.0059728
Off for the Rabbit Chase , USA,32.715738,-117.1610838
The 'Texas' Naval Parade , USA,42.403046,-73.8886727
The Monitor 'Terror' , USA,40.7127753,-74.0059728
Rothesay Pier , UK,55.8628285,-4.2428535
Cripple Creek Float , USA,39.7392358,-104.990251
Grand Army Veterans of New York , USA,40.7127753,-74.0059728
Passing Barnstaple Junction , UK,51.0781599,-4.058338
Making an Impression , USA,40.3089999,-73.9979153
U.S. Battleship 'Indiana' , USA,24.633333,-82.92
Worthing Life-Saving Station , UK,50.8177477,-0.4330732
The Lower Esplanade , UK,50.82253000000001,-0.137163
War Correspondents , USA,24.5550593,-81.7799871
Morro Castle Havana Harbor , Cuba,23.1135925,-82.3665956
A Gallant Charge , USA,27.7500796,-81.7857416
French Soldiers in a Wall-Climbing Drill , France,48.856614,2.3522219
The Farmer's Mishap , USA,40.3658611,-73.9767375
Company 'C' 1st Regiment N.J.V. , USA,40.72815749999999,-74.0776417
Kaffir War Dance , South Africa,-26.2041028,28.0473051
Cyclone Thresher at Work , Canada,49.848471,-99.9500904
Canadian Artillery Marching on Snow Shoes , Canada,46.8138783,-71.2079809
Life Saving; Quebec Fire Department , Canada,46.8138783,-71.2079809
Close View of the 'Brooklyn' Naval Parade , USA,40.7127753,-74.0059728
Monitor 'Terror' , USA,24.5550593,-81.7799871
Snowballing the Coasters , USA,40.735657,-74.1723667
The Treacherous Spring Board , USA,40.3658611,-73.9767375
Captain Sigsbee , USA,38.9071923,-77.0368707
The Gallant Young Man , USA,40.3658611,-73.9767375
Corpus Christi Procession Orvieto , Italy,42.7185068,12.1107446
New Year's Carnival I), USA,39.9525839,-75.1652215
Admiral Cervera and Officers of the Spanish Fleet Leaving the 'St. Louis' , USA,38.9784453,-76.4921829
Charros mexicanos lanzando un potro , Mexico,20.5279612,-100.8112885
A Chicago Street , USA,41.8781136,-87.6297982
Canton River Scene , Sweden,59.6132041,16.2294755
Las Viga Canal Mexico City , Mexico,20.6952544,-103.9718701
Naval Post G.A.R. , USA,40.7127753,-74.0059728
Llegada de un tren a la estación de ferrocarril del Norte de Barcelona , Spain,41.3850639,2.1734035
Salt Lake City Company of Rocky Mt. Riders , USA,30.3321838,-81.65565099999999
Excursion Boats Naval Parade , USA,40.6215489,-74.06524379999999
Roosevelt's Rough Riders , USA,27.950575,-82.4571776
Bazar küçasi sübh çag , Azerbaijan,40.40926169999999,49.8670924
Cattle Market , South Africa,-26.2041028,28.0473051
New York Naval Reserves , USA,40.6781784,-73.9441579
Emperor William of Germany and Emperor Franz Josef of Austria , Hungary,47.497912,19.040235
Government House at Hong Kong , China,22.396428,114.109497
Boston Commandery Boston Mass. , USA,40.44062479999999,-79.9958864
Parade of Chinese , USA,37.7749295,-122.4194155
Diver at Work in the Docks at Holyhead , UK,53.309441,-4.633038
Mardi Gras Carnival I), USA,29.95106579999999,-90.0715323
Rough Riding , USA,30.3321838,-81.65565099999999
Around the Big Swing , USA,41.1220194,-73.7948516
Launch of Japanese Man-of-War 'Chitosa' , USA,37.73935669999999,-122.4047523
Practice Warfare , USA,27.950575,-82.4571776
N.Y. Journal Despatch Yacht 'Buccaneer' , USA,40.7127753,-74.0059728
Three Views of the 69th Regiment N.G.S.N.Y. , USA,40.7595367,-73.3804932
Woodstock to Cape Town by Tram , South Africa,-33.9248685,18.4240553
Church Temperance League , USA,40.7127753,-74.0059728
Trinity Church , USA,42.3600825,-71.0588801
Hex River Scenery ,South Africa,-30.559482,22.937506
18th Pennsylvania Volunteers , USA,27.7500796,-81.7857416
Johannesburg Handicap , South Africa,-26.2041028,28.0473051
Fighting Roosters; in Florida , USA,27.950575,-82.4571776
Troops Embarking at San Francisco , USA,37.7749295,-122.4194155
U.S. Cavalry Supplies Unloading at Tampa Florida , USA,27.950575,-82.4571776
The Battleship 'Oregon' , USA,43.73867569999999,-74.0487476
Sirdar's Reception at Guildhall , UK,51.515819,-0.091982
Arrival of the Royal Mail Boat at Holyhead , UK,53.309441,-4.633038
In the Adirondacks , USA,43.67842599999999,-73.8551385
Agoust Family of Jugglers , France,48.856614,2.3522219
Battleship Massachusetts , USA,40.7127753,-74.0059728
The Christian Herald's Relief Station Havana , Cuba,23.1135925,-82.3665956
The Rivals II), USA,40.88116369999999,-73.9154069
Tancred Commandery Pittsburg , USA,40.44062479999999,-79.9958864
Am Leipziger Turm in Halle a/S. , Germany,51.4802226,11.9764317
Bibiheybatda neft fontani yangini , Azerbaijan,40.30851819999999,49.82050479999999
Llegada del Tlacotalpan a Veracruz , Mexico,19.173773,-96.1342241
Troop Ships for the Philippines , USA,37.7749295,-122.4194155
Cruiser 'Marblehead' , USA,24.5550593,-81.7799871
Adderley Street Cape Town , South Africa,-33.9248685,18.4240553
Fifteenth Minnesota Volunteers , USA,27.7500796,-81.7857416
Cruiser 'Montgomery' , Cuba,23.1135925,-82.3665956
Volley Firing , USA,34.7303688,-86.5861037
Crowd Inside the Booms , UK,51.535764,-0.902894
Grand Army Veterans of Philadelphia , USA,39.9525839,-75.1652215
View from an Engine Front: Barnstaple ,Barnstaple Town,51.0781599,-4.058338
Shooting the Long Sault Rapids , Canada,47.6695302,-69.59569669999999
De boulevard van Scheveningen , Netherlands,52.1024015,4.3021834
Horse Fair at Llangollen , UK,52.969215,-3.17166
U.S. Troop-Ships , Cuba,19.9597586,-75.7087997
Lasso Throwing , USA,27.950575,-82.4571776
Behind the Firing Line , USA,27.7500796,-81.7857416
Jumping Net Practice , USA,43.0481221,-76.14742439999999
Boston Navy Yard , USA,42.3600825,-71.0588801
Rushing the Growler , USA,40.8509333,-73.9701381
Hong Kong Regiment No. 2 , China,22.396428,114.109497
Landing Wharf at Canton , Sweden,59.6132041,16.2294755
À bord du 'Formidable': Ramassage du linge , France,43.703976,7.311109000000001
Big Monitor Miantonomah Leaving the Navy Yard , USA,39.9525839,-75.1652215
Tenth Regiment Ohio Volunteers , USA,27.7500796,-81.7857416
U.S. Cruiser 'Nashville' , USA,24.633333,-82.92
Coasting in Canada I), Canada,46.890804,-71.147684
Honolulu Street Scene , USA,21.3155434,-157.8615682
An Innocent Victim , USA,40.3089999,-73.9979153
Charge by Rushes , USA,27.7500796,-81.7857416
Cubans Sharpening Their Machetes , USA,27.950575,-82.4571776
Fiskerkoner ved Gammelstrand , Denmark,55.677525,12.57768
Sleighing Scene I), USA,42.3600825,-71.0588801
Masked Procession , USA,39.7392358,-104.990251
Snap the Whip , USA,40.5998931,-73.74484369999999
Divers at Work on the Maine , Cuba,23.1135925,-82.3665956
Louisville Commandery Louisville Ky. , USA,40.44062479999999,-79.9958864
Dalgren Post G.A.R. , USA,40.7127753,-74.0059728
Bathing Girls Hurdle Race , USA,40.5998931,-73.74484369999999
Relieving the Guard at St. James Palace , UK,51.5073509,-0.1277583
South Spring Street Los Angeles Cal. , USA,34.0522342,-118.2436849
14th U.S. Infantry Drilling at the Presidio , USA,37.7749295,-122.4194155
Dostavenícko ve mlýnici , Czech Republic,50.0755381,14.4378005
Peace Parade Chicago , USA,41.8781136,-87.6297982
15000 Soldiers Reviewed by the President at Camp Alger May 28 , USA,38.857985,-77.203119
Feeding the Ducks at Tampa Bay , USA,27.950575,-82.4571776
Battleship 'Massachusetts' , USA,37.0870821,-76.4730122
S.S. 'Columbia' Sailing , USA,37.0870821,-76.4730122
Launch of the 'Illinois' , USA,37.0870821,-76.4730122
Cruiser 'Brooklyn' II), USA,36.8507689,-76.28587259999999
A Slippery Landing , USA,40.3658611,-73.9767375
Scene on the Steamship 'Olivette' , USA,29.95106579999999,-90.0715323
Weary Raggles , USA,40.3658611,-73.9767375
U.S. Battleship 'Iowa' , USA,24.633333,-82.92
Cruiser 'Detroit' , USA,24.633333,-82.92
Torpedo Boat 'Dupont' , USA,29.95106579999999,-90.0715323
Snow Storm , USA,40.7706187,-74.2326478
Chief Devery at Head of N.Y. Police Parade , USA,40.7127753,-74.0059728
Kaffir War Dances and Sports , South Africa,-28.3491854,30.5350899
Locks Slips Docks and Station , UK,53.4083714,-2.9915726
Sleighing Scene II), USA,40.7127753,-74.0059728
Indian Day School , USA,34.9078296,-106.6930811
Third Regiment Pennsylvania , USA,39.9525839,-75.1652215
Harbor Defenses I), USA,42.3600825,-71.0588801
Market Street , UK,53.4807593,-2.2426305
Gran corrida de toros , Spain,36.6850064,-6.126074399999999
