film,country,lat,long
"Bachelor in Paradise"  {(#1.1)}, Mexico,20.2114185,-87.46535019999999
"24: Live Another Day"  {6:00 p.m.-7:00 p.m. (#1.8)}, UK,51.4895234,-0.2310464
"Aku ja 7 ihmettä"  {Hongkong (#2.5)}, China,22.396428,114.109497
"BE: Bettina & Elaine" , USA,40.7127753,-74.0059728
"24: Live Another Day"  {4:00 p.m.-5:00 p.m. (#1.6)}, UK,51.5069825,-0.1249472
"A Great Welsh Adventure with Griff Rhys Jones" , UK,52.21914289999999,-3.9321256
"24: Live Another Day"  {1:00 p.m.-2:00 p.m. (#1.3)}, UK,51.5081101,-0.1248116
"Az po usi"  {(#1.3)}, Czech Republic,50.0755381,14.4378005
"Aku ja 7 ihmettä"  {Peru (#1.2)}, Peru,-13.53195,-71.96746259999999
"Aku ja 7 ihmettä"  {Mexico City (#2.6)}, Mexico,19.4326077,-99.133208
"#ATown" , USA,30.2955241,-97.74176700000001
"Bab Almorad" , Iran,35.6891975,51.3889736
"Argyle Park" , USA,33.4483771,-112.0740373
"Annihilate" , USA,33.4483771,-112.0740373
"Aag" , Pakistan,33.6844202,73.04788479999999
"Arrepentidos" , Argentina,-32.9442426,-60.65053880000001
"Ascension" , Canada,45.5016889,-73.567256
"2014 Stanley Cup Finals"  {Game 2 (#1.2)}, USA,34.0430058,-118.2673597
"24: Live Another Day"  {1:00 p.m.-2:00 p.m. (#1.3)}, UK,51.481648,-0.125624
"Acting Dead" , USA,34.2694474,-118.781482
"Air Boss" , USA,28.0394654,-81.9498042
"Against the Odds"  {The Untold Story of the Rescue at Dogshead (#2.5)}, USA,41.1902682,-75.26517849999999
"#ATown" , USA,30.295504,-97.741759
"Anzac Girls" , Australia,-34.94310050000001,138.627833
"42 Geek Street" , Australia,-37.8136276,144.9630576
"All Summer Long" , USA,34.2452398,-117.2261576
"Ancestors Calling" , Canada,53.6832854,-119.4241825
"A Band Apart" , USA,38.9716689,-95.2352501
"2014 Stanley Cup Finals" , USA,40.75048,-73.99338399999999
"Akbar Birbal" , India,19.0759837,72.8776559
"Az po usi"  {(#1.4)},Czech Republic,49.81749199999999,15.472962
"African Masters" , Nigeria,6.5243793,3.3792057
"Ask LA"  {Ask LA (#1.1)}, USA,34.0928092,-118.3286614
"America: A Love Song" , USA,44.52634219999999,-109.0565308
"Aku ja 7 ihmettä"  {Jordania (#1.4)}, Jordan,29.534667,35.4079087
"Asian Beauty Secrets" , USA,34.0522342,-118.2436849
"Anzac Girls" , Australia,-34.9284989,138.6007456
"Aku ja 7 ihmettä"  {Peru (#1.2)}, Peru,-13.1631412,-72.5449629
"BFA the Series" , USA,39.2556129,-76.7109751
"10 Films 1 Box" , USA,34.0522342,-118.2436849
"30 Minutes of Madness" , USA,44.3148443,-85.60236429999999
"30 Second Movies"  {The Last Job (#1.8)}, USA,33.4734978,-82.0105148
"America's It Girl" , USA,34.0522342,-118.2436849
"19-2" , Canada,45.5016889,-73.567256
"616" , UK,51.7043936,0.1656224
"AP Life" , USA,41.8025986,-71.8859054
"Acting Dead" , USA,34.1808392,-118.3089661
"Asian Voices" , USA,33.7174708,-117.8311428
"2014 Stanley Cup Finals"  {Game 1 (#1.1)}, USA,34.0430058,-118.2673597
"Anali Ogullu" , Turkey,41.1133617,29.0171004
"Alec Baldwin's Love Ride" , USA,40.7127753,-74.0059728
"A to Z"  {I Is for Ill Communication (#1.9)}, USA,34.1519315,-118.3365354
"A to Z"  {H Is for Hostile Takeover (#1.8)}, USA,34.1519315,-118.3365354
"#ATown" , USA,30.2476846,-97.7181049
"Aku ja 7 ihmettä"  {Vietnam (#1.3)}, Vietnam,20.9100512,107.1839024
"Aku ja 7 ihmettä"  {Intia (#1.1)}, India,28.7040592,77.10249019999999
"Angel of Mercy" , USA,32.4709761,-85.0007653
"A to Z"  {G Is for Geronimo (#1.7)}, USA,34.1519315,-118.3365354
"2 Redheads" , USA,41.8781136,-87.6297982
"Adventures in Jedi School" , USA,33.7467471,-116.7152556
"19-2"  {Chicken (#3.3)}, Canada,45.5016889,-73.567256
"Asset: The Webseries" , Czech Republic,50.0755381,14.4378005
"Ashley and Carley New York"  {Ashley and Carley at Times Square (Father Duffy Statue) (#2.2)}, USA,40.7127753,-74.0059728
"A Livre Ouvert" , Switzerland,46.5196535,6.6322734
"A Midsemester Night's Dream"  {Act 1 Scene 1 (#1.1)}, USA,36.1626638,-86.7816016
"Ancestors Calling" , Canada,53.544389,-113.4909267
"Aku ja 7 ihmettä"  {Tokio (#2.3)}, Japan,35.6938401,139.7035494
"All Aussie Songwriting Adventures" , USA,36.1699412,-115.1398296
"Apple of Sin"  {No Apple Falls Far from the Tree (#1.4)}, USA,34.13655440000001,-118.2942
"A Great Welsh Adventure with Griff Rhys Jones" , UK,51.9489469,-3.391463
"Amnesia: The Dark Descent" , USA,41.6032207,-73.087749
"Az po usi"  {(#1.12)},Czech Republic,49.81749199999999,15.472962
"Asian Voices" , USA,32.715738,-117.1610838
"#ATown" , USA,30.2722466,-97.76891739999999
"8: The Series" , USA,37.7749295,-122.4194155
"Amber"  {Sarah (#1.1)}, Ireland,53.3498053,-6.2603097
"Aku ja 7 ihmettä"  {Intia (#1.1)}, India,27.1750151,78.0421552
"Aku ja 7 ihmettä"  {Jordania (#1.4)}, Jordan,30.3284544,35.4443622
"Angels in Paradise" , USA,34.0522342,-118.2436849
"73 Questions"  {73 Questions with Nicole Kidman (#2.5)}, Australia,-33.8688197,151.2092955
"2040" , USA,40.7127753,-74.0059728
"1864"  {(#1.8)},Czech Republic,49.81749199999999,15.472962
"All Your Living Needs" , USA,40.72815749999999,-74.0776417
"30 Second Movies"  {Roundabout (#1.15)}, USA,33.4734978,-82.0105148
"1864"  {(#1.7)},Czech Republic,49.81749199999999,15.472962
"Ashley Banjo's Big Town Dance" , UK,54.5704551,-1.3289821
"Afripedia Angola" , Angola,-8.839987599999999,13.2894368
"Amber"  {Charlie (#1.3)}, Ireland,53.3498053,-6.2603097
"Action!" , France,48.900552,2.25929
"Amber" , Ireland,53.2764659,-6.2170209
"Alibi Agentur - Bei uns sind ihre Geheimnisse sicher!" , Germany,52.519444,13.4066669
"Against the Odds"  {The Untold Story of the Rescue at Dogshead (#2.5)}, USA,41.1669486,-75.2706535
"Aku ja 7 ihmettä"  {Jordania (#1.4)}, Jordan,31.768332,35.7252775
"A Great Welsh Adventure with Griff Rhys Jones" , UK,53.282872,-3.82948
"A Tiger in the Dark: The Take Over Begins" , USA,40.7127753,-74.0059728
"Aku ja 7 ihmettä"  {Brasilia (#1.5)}, Brazil,-22.9068467,-43.1728965
"Awkward Bully" , USA,34.0522342,-118.2436849
"Az po usi"  {(#1.10)},Czech Republic,49.81749199999999,15.472962
"Babylon" , UK,51.5084948,-0.0807668
"Aku ja 7 ihmettä"  {Islanti (#2.1)},Iceland,64.963051,-19.020835
"Arnie"  {Chapter One: Relationships (Arnie & His Army) (#1.1)}, USA,28.5233392,-81.3791557
"Astonding India - A Journey"  {Lal Paharir Deshe Ja (#1.5)}, India,23.668542,87.6897061
"Aku ja 7 ihmettä"  {Argentiina (#1.6)}, Argentina,-25.695259,-54.4366662
"AOL Build" , USA,40.7308963,-73.991286
"Amazing Spaces Shed of the Year"  {Amazing Spaces Shed of the Year 2015 (#2.4)}, UK,51.503012,-0.752706
"30 Second Movies" , USA,33.4734978,-82.0105148
"Aku ja 7 ihmettä"  {Jordania (#1.4)}, Jordan,31.7193405,35.7932432
"2014 Stanley Cup Finals" , USA,34.0430058,-118.2673597
"Audi R8 LMS Cup" ,Abu Dhabi,24.453884,54.3773438
"Astonding India - A Journey"  {Gangasagar Transit Camp (#1.2)}, India,22.572646,88.36389500000001
"Arsim VeFrehot : HaElitot HaChadashot" ,Israel,31.046051,34.851612
"All Aussie Songwriting Adventures" , USA,34.0522342,-118.2436849
"1864"  {(#1.1)}, Danmark,55.2281585,9.9853224
"Az po usi" ,Czech Republic,49.81749199999999,15.472962
"30 Second Movies"  {Danito's Way (#1.10)}, USA,33.4734978,-82.0105148
"Arnie"  {Chapter One: Relationships (Arnie & His Army) (#1.1)}, USA,36.13057209999999,-80.2545483
"Anzac Girls" , Australia,-36.7235617,140.3481835
"2 Awkward Dudes" , USA,40.7127753,-74.0059728
"Adam and Jamero" , USA,34.0522342,-118.2436849
"#Nightstrife" , USA,41.8781136,-87.6297982
"Angel of Mercy" , USA,32.4609764,-84.9877094
"616" , UK,51.5842002,-0.1253502
"Air Boss" , USA,44.0247062,-88.5426136
"Auf Leben und Tod - Das Unfallkrankenhaus Berlin" , Germany,52.52000659999999,13.404954
