film,country,lat,long
"Bret Maverick" , USA,34.3766906,-118.4105778
"Best of the West"  {The Hanging of Parker Tillman (#1.6)}, USA,34.1155076,-118.7561452
"Bret Maverick" , USA,34.1482995,-118.3381847
"Best of the West"  {Tillman Held for Ransom (#1.16)}, USA,34.1155076,-118.7561452
"Brideshead Revisited" , Malta,35.888093,14.4068357
"Best of the West"  {Pilot (#1.1)}, USA,34.1155076,-118.7561452
"Bullseye"  {(#10.6)}, UK,52.3555177,-1.1743197
"American Playhouse"  {The Revolt of Mother (#7.6)}, USA,42.6731396,-72.6967587
"Barracas al sur"  {(#1.10)}, Argentina,-34.6036844,-58.3815591
"Bullseye"  {(#11.8)}, UK,52.3555177,-1.1743197
"Bullseye"  {(#12.23)}, UK,52.3555177,-1.1743197
"Barracas al sur"  {(#1.26)}, Argentina,-34.6036844,-58.3815591
"Bergerac" , Channel Islands,49.2217332,-2.2138388
"Bullseye"  {(#1.1)}, UK,52.3555177,-1.1743197
"Bullseye"  {(#10.8)}, UK,52.3555177,-1.1743197
"Brideshead Revisited" , UK,51.5045441,-0.1402663
"Bullseye"  {(#10.13)}, UK,52.3555177,-1.1743197
"Bret Maverick"  {Anything for a Friend (#1.4)}, USA,34.1475474,-118.3390296
"Bullseye"  {(#11.18)}, UK,52.3555177,-1.1743197
"Bret Maverick"  {Welcome to Sweetwater (#1.3)}, USA,34.1482995,-118.3381847
"Best of the West"  {Daniel's First Love (#1.9)}, USA,34.1155076,-118.7561452
"Bullseye"  {(#4.19)}, UK,52.3555177,-1.1743197
"American Playhouse"  {Carl Sandburg: Echoes and Silences (#1.8)}, USA,40.94781580000001,-90.3712395
"Barracas al sur"  {(#1.8)}, Argentina,-34.6036844,-58.3815591
"Bullseye"  {(#13.15)}, UK,52.3555177,-1.1743197
"American Playhouse"  {Three Sovereigns for Sarah: Part I (#4.18)}, USA,42.4651421,-71.0110473
"American Playhouse"  {Adventures of Huckleberry Finn Part I (#5.4)}, USA,38.3349047,-92.2113914
"Bret Maverick"  {The Yellow Rose (#1.5)}, USA,34.1475474,-118.3390296
"Bullseye"  {(#4.11)}, UK,52.3555177,-1.1743197
"Barracas al sur"  {(#1.13)}, Argentina,-34.6036844,-58.3815591
"Barracas al sur"  {(#1.23)}, Argentina,-34.6036844,-58.3815591
"Bellamy"  {Lorelei (#1.20)}, Australia,-33.8700611,151.2264095
"American Playhouse"  {Three Sovereigns for Sarah: Part I (#4.18)}, USA,42.51954,-70.8967155
"Bullseye"  {(#12.8)}, UK,52.3555177,-1.1743197
"Bullseye"  {(#1.3)}, UK,52.3555177,-1.1743197
"Bullseye"  {(#6.13)}, UK,52.3555177,-1.1743197
"Bullseye"  {(#12.2)}, UK,52.3555177,-1.1743197
"Bergerac" , Channel Islands,49.1843475,-2.1948372
"Best of the West"  {Elvira's Old Beau (#1.20)}, USA,34.0837186,-118.3209528
"Best of the West"  {The New Marshal (#1.8)}, USA,34.0837186,-118.3209528
"A Town Like Alice" , Australia,-31.8890695,141.2304919
"Bullseye"  {(#3.19)}, UK,52.3555177,-1.1743197
"Bullseye"  {(#3.5)}, UK,52.3555177,-1.1743197
"Barracas al sur"  {(#1.9)}, Argentina,-34.6036844,-58.3815591
"Bergerac" , Channel Islands,49.1691737,-2.1694178
"Bullseye"  {(#2.7)}, UK,52.3555177,-1.1743197
"Bullseye"  {(#1.2)}, UK,52.3555177,-1.1743197
"Bergerac"  {The Messenger Boy (#8.9)}, UK,51.4574406,-0.3069567
"Bret Maverick"  {The Rattlesnake Brigade (#1.17)}, USA,34.1475474,-118.3390296
"Brideshead Revisited" , Atlantic Ocean,33.7526356,-118.1903235
"Another Life" , USA,36.8529263,-75.97798499999999
"American Playhouse"  {Waiting for the Moon (#6.11)}, France,49.161966,1.862136
"Best of the West" , USA,34.0837186,-118.3209528
"Bret Maverick"  {Anything for a Friend (#1.4)}, USA,34.1482995,-118.3381847
"Barracas al sur"  {(#1.28)}, Argentina,-34.6036844,-58.3815591
"Brideshead Revisited" , UK,51.7557394,-1.2546951
"All American Ultra Quiz" , UK,51.5073509,-0.1277583
"American Playhouse"  {Who Am I This Time? (#1.4)}, USA,42.0450722,-87.68769689999999
"Bret Maverick"  {The Lazy Ace: Part 2 (#1.2)}, USA,34.1482995,-118.3381847
"Bullseye"  {(#5.16)}, UK,52.3555177,-1.1743197
"Best of the West"  {Mail Order Bride (#1.3)}, USA,34.1155076,-118.7561452
"Bullseye"  {(#4.4)}, UK,52.3555177,-1.1743197
"Bullseye"  {(#11.7)}, UK,52.3555177,-1.1743197
"Best of the West"  {The Cave-In (#1.17)}, USA,34.1155076,-118.7561452
"Best of the West"  {The Calico Kid Goes to School (#1.15)}, USA,34.0837186,-118.3209528
"Bergerac"  {Treasure Hunt (#5.9)}, UK,51.4986381,-0.1332875
"Bullseye"  {(#10.23)}, UK,52.3555177,-1.1743197
"Barracas al sur"  {(#1.22)}, Argentina,-34.6036844,-58.3815591
"Bullseye"  {(#11.23)}, UK,52.3555177,-1.1743197
"Bullseye"  {(#13.6)}, UK,52.3555177,-1.1743197
"American Playhouse"  {The Ballad of Gregorio Cortez (#1.25)}, USA,35.5942137,-105.2227978
"Barracas al sur"  {(#1.16)}, Argentina,-34.6036844,-58.3815591
"Barracas al sur"  {(#1.11)}, Argentina,-34.6036844,-58.3815591
"Bullseye"  {(#10.4)}, UK,52.3555177,-1.1743197
"American Playhouse"  {Pudd'nhead Wilson (#3.2)}, USA,39.3253786,-77.7388818
"Bullseye"  {(#2.14)}, UK,52.3555177,-1.1743197
"Bergerac" , Channel Islands,49.18546,-2.169085
"American Playhouse"  {Noon Wine (#4.6)}, USA,30.2752011,-98.8719843
"Bergerac"  {Nice People Die in Bed (#1.2)}, Channel Islands,49.1765729,-2.1679124
"Bullseye"  {(#4.18)}, UK,52.3555177,-1.1743197
"Best of the West" , USA,34.1155076,-118.7561452
"Bullseye"  {(#12.5)}, UK,52.3555177,-1.1743197
"Bullseye"  {(#5.10)}, UK,52.3555177,-1.1743197
"Bergerac"  {The Hood and the Harlequin (#1.10)}, Channel Islands,49.1765729,-2.1679124
"Bergerac" , Channel Islands,49.199148,-2.019091
"Bullseye"  {(#4.7)}, UK,52.3555177,-1.1743197
"Best of the West"  {The Hanging of Parker Tillman: Part II (#1.7)}, USA,34.0837186,-118.3209528
"Brideshead Revisited" , UK,51.7540863,-1.2536169
"Bergerac"  {Picking It Up (#1.1)}, Channel Islands,49.1765729,-2.1679124
"Best of the West"  {The Prisoner (#1.2)}, USA,34.1155076,-118.7561452
"American Playhouse"  {The Great Whodunit}, USA,42.3600825,-71.0588801
"Bullseye"  {(#4.23)}, UK,52.3555177,-1.1743197
"Best of the West"  {Frog's First Gunfight (#1.14)}, USA,34.0837186,-118.3209528
"Best of the West"  {The Railroad (#1.11)}, USA,34.1155076,-118.7561452
"Bullseye"  {(#10.1)}, UK,52.3555177,-1.1743197
"Bullseye"  {(#13.8)}, UK,52.3555177,-1.1743197
"Bullseye"  {(#14.13)}, UK,52.3555177,-1.1743197
"American Playhouse"  {Land of Little Rain (#8.13)}, USA,34.5199402,-105.8700901
"Bullseye"  {(#10.10)}, UK,52.3555177,-1.1743197
"Bullseye"  {(#2.5)}, UK,52.3555177,-1.1743197
"Bullseye"  {(#10.19)}, UK,52.3555177,-1.1743197
"All American Ultra Quiz" , Greece,37.9838096,23.7275388
"Bullseye"  {(#10.24)}, UK,52.3555177,-1.1743197
"Au bon beurre" , France,48.861393,2.3933276
"American Playhouse"  {Adventures of Huckleberry Finn Part I (#5.4)}, USA,38.6411854,-83.744365
"American Playhouse"  {Three Sovereigns for Sarah: Part I (#4.18)}, USA,42.55835949999999,-70.94830160000001
"Bullseye"  {(#12.19)}, UK,52.3555177,-1.1743197
"American Playhouse"  {Three Sovereigns for Sarah: Part I (#4.18)}, USA,42.66664979999999,-70.75996340000002
"Bret Maverick"  {The Lazy Ace: Part 1 (#1.1)}, USA,34.3766906,-118.4105778
"Best of the West"  {A Man a Woman and a Horse (#1.13)}, USA,34.0837186,-118.3209528
"Bullseye"  {(#4.12)}, UK,52.3555177,-1.1743197
"Bullseye"  {(#6.17)}, UK,52.3555177,-1.1743197
"Barracas al sur"  {(#1.7)}, Argentina,-34.6036844,-58.3815591
"Bullseye"  {(#13.1)}, UK,52.3555177,-1.1743197
"Bullseye"  {(#5.1)}, UK,52.3555177,-1.1743197
"Bullseye"  {(#4.5)}, UK,52.3555177,-1.1743197
"A Town Like Alice" , Australia,-33.8688197,151.2092955
"American Playhouse"  {Pigeon Feathers (#7.7)}, USA,42.6731396,-72.6967587
"American Playhouse"  {Overdrawn at the Memory Bank}, Canada,43.653226,-79.3831843
"Bergerac"  {The Messenger Boy (#8.9)}, UK,51.4936154,-0.2397659
"Bullseye"  {(#5.2)}, UK,52.3555177,-1.1743197
"Bullseye"  {(#6.23)}, UK,52.3555177,-1.1743197
"Best of the West"  {The Calico Kid Returns (#1.4)}, USA,34.1155076,-118.7561452
"Bullseye"  {(#12.9)}, UK,52.3555177,-1.1743197
"Bullseye"  {(#4.27)}, UK,52.3555177,-1.1743197
"Barriers" , UK,55.6076431,-1.7148211
"Bullseye"  {(#12.6)}, UK,52.3555177,-1.1743197
"American Playhouse"  {Porgy and Bess (#11.3)}, UK,51.40664169999999,-0.4643616
"Bret Maverick" , USA,34.1475474,-118.3390296
"Bullseye"  {(#2.13)}, UK,52.3555177,-1.1743197
"Bullseye"  {(#12.17)}, UK,52.3555177,-1.1743197
"Bullseye"  {(#14.8)}, UK,52.3555177,-1.1743197
"Bullseye"  {(#5.14)}, UK,52.3555177,-1.1743197
"Barracas al sur"  {(#1.25)}, Argentina,-34.6036844,-58.3815591
"Bullseye"  {(#4.22)}, UK,52.3555177,-1.1743197
"Best of the West"  {Daniel Fights a Bully (#1.18)}, USA,34.1155076,-118.7561452
"Bret Maverick"  {The Hidalgo Thing (#1.18)}, USA,34.1482995,-118.3381847
"Bullseye"  {(#3.22)}, UK,52.3555177,-1.1743197
"American Playhouse"  {Waiting for the Moon (#6.11)}, France,49.086358,1.732109
"Amor meu" , Spain,41.4526016,2.0763253
"Bullseye"  {(#5.4)}, UK,52.3555177,-1.1743197
"Bullseye"  {(#11.2)}, UK,52.3555177,-1.1743197
"Bullseye"  {(#12.4)}, UK,52.3555177,-1.1743197
"Bullseye"  {(#6.20)}, UK,52.3555177,-1.1743197
"Bergerac"  {Relative Values (#1.9)}, Channel Islands,49.1765729,-2.1679124
"Bullseye"  {(#12.12)}, UK,52.3555177,-1.1743197
"Best of the West"  {The New Jail (#1.12)}, USA,34.0837186,-118.3209528
"Bullseye"  {(#13.4)}, UK,52.3555177,-1.1743197
"Bullseye"  {(#13.12)}, UK,52.3555177,-1.1743197
"Best of the West"  {Tillman Held for Ransom (#1.16)}, USA,34.0837186,-118.3209528
"Bergerac"  {Tug of War (#3.9)}, Channel Islands,49.1855898,-2.1953334
"Brideshead Revisited" , UK,54.1218033,-0.9061282
"Bullseye"  {(#2.12)}, UK,52.3555177,-1.1743197
"Bergerac"  {The Lohans (#9.10)}, UK,51.06490849999999,-1.7972886
"Bullseye"  {(#10.14)}, UK,52.3555177,-1.1743197
"A Town Like Alice" , Australia,-31.2532183,146.921099
"Bullseye"  {(#13.17)}, UK,52.3555177,-1.1743197
"Bullseye"  {(#2.8)}, UK,52.3555177,-1.1743197
"Best of the West"  {Daniel's First Love (#1.9)}, USA,34.0837186,-118.3209528
"All American Ultra Quiz" , France,48.856614,2.3522219
"Bret Maverick"  {The Not So Magnificent Six (#1.12)}, USA,34.1482995,-118.3381847
"Barracas al sur"  {(#1.24)}, Argentina,-34.6036844,-58.3815591
"Bullseye"  {(#5.13)}, UK,52.3555177,-1.1743197
