film,country,lat,long
L'homme du jour , France,48.568986,2.859033
The Case of the Stuttering Bishop , USA,34.1519315,-118.3365354
Turtsiya na podyome , Turkey,38.423734,27.142826
The King and the Chorus Girl , USA,34.1519315,-118.3365354
The Bad Man of Brimstone , USA,37.2982022,-113.0263005
I Want to Be a Mother , USA,40.7127753,-74.0059728
Frentes de Aragón , Spain,41.5976275,-0.9056623
Marry the Girl , USA,34.1519315,-118.3365354
Adolf Armstarke , Sweden,59.36272640000001,18.0346799
Die Austernlilli , Germany,52.4887434,13.1671038
The Road Through the Sunset Isles , UK,57.744516,-6.967566
I Met Him in Paris , USA,34.0837186,-118.3209528
Unusual Occupations I), USA,33.62594139999999,-97.1333453
"Wimbledon"  {2017 Qualifying: Day 1 (#75.1)}, UK,51.4588536,-0.2551585
Radio , France,48.877078,2.297122
A Star Is Born , USA,36.5677116,-118.0898097
Make Way for Tomorrow , USA,34.0837186,-118.3209528
The Lady Fights Back , USA,34.13,-116.88
Wake Up Famous , UK,51.40664169999999,-0.4643616
De man zonder hart , France,48.856614,2.3522219
Kathleen Mavourneen , UK,51.79241,-0.210988
O.H.M.S. , UK,51.5357438,-0.0891975
Blossoms on Broadway , USA,34.0837186,-118.3209528
Madrid sufrido y heroico , Spain,40.4167754,-3.7037902
The Life of Emile Zola , USA,34.1482995,-118.3381847
Born to the West , USA,35.75467320000001,-118.4253627
"Round the Film Studios"  {No. 2 Denham Part 4 (#2.4)}, UK,51.5867307,-0.4994042999999999
The Edge of the World , UK,60.1312669,-2.0695406
Ritt in die Freiheit , Poland,53.0876544,21.5592554
Hollywood Round-Up , USA,34.275888,-118.609011
Live Love and Learn , USA,34.0160487,-118.4037798
Kesämatkailua Suomessa , Finland,62.89796999999999,27.6781725
Nothing Sacred , USA,34.0401052,-118.2478236
Wings of the Morning , UK,51.3116688,-0.2436632
The Life of Emile Zola , USA,34.1470889,-118.34014
La vuelta de Rocha , Argentina,-34.6036844,-58.3815591
A Star Is Born , USA,34.1020231,-118.3409712
Koskenlaskijan morsian , Finland,60.9174988,26.1824801
Boots and Saddles , USA,36.5677116,-118.0898097
Natalka Poltavka , USA,40.5123258,-74.85933179999999
The Angelus , UK,51.455612,-0.31888
Brillanten , Netherlands,52.3702157,4.895167900000001
Nothing Sacred , USA,40.753155,-73.9006661
Kaunis pääkaupunkimme , Finland,60.16985569999999,24.9383791
La peau d'un autre ,Germany,51.165691,10.451526
Boots and Saddles , USA,36.6008275,-118.0617151
Born Reckless , USA,34.05179,-118.4125106
Ever Since Eve , USA,34.1519315,-118.3365354
Captains Courageous , USA,36.6002378,-121.8946761
¡Segundos afuera! , Argentina,-34.6036844,-58.3815591
The Hurricane , American Samoa,-14.3257552,-170.7325287
The Hollanders , Netherlands,52.3702157,4.895167900000001
Nothing Sacred , USA,34.1533395,-118.7616764
Jim Hanvey Detective , USA,34.13811680000001,-118.3533783
Her Husband's Secretary , USA,34.1519315,-118.3365354
Sein bester Freund , Germany,52.5079196,13.3377547
