film,country,lat,long
"Der Leutnant vom Schwanenkietz" , Germany,52.3870243,13.1201746
"Celebrity Sweepstakes" , USA,34.1551917,-118.3343234
"Barney Miller"  {Guns (#6.16)}, USA,34.1035136,-118.280568
"Chico and the Man"  {Too Many Crooks (#2.21)}, USA,34.1808392,-118.3089661
"Chico and the Man"  {Chico's Problem (#3.4)}, USA,34.1546294,-118.334035
"Bagpuss"  {Flying (#1.12)}, UK,52.3555177,-1.1743197
"Dinah!"  {(#2.184)}, USA,34.0745042,-118.3598913
"Alberto Vilar el indomable"  {(#1.9)}, Argentina,-34.6036844,-58.3815591
"Chico and the Man"  {The Misfortune Teller (#2.9)}, USA,34.1546294,-118.334035
"Alberto Vilar el indomable"  {(#1.2)}, Argentina,-34.6036844,-58.3815591
"Dinah!"  {(#1.67)}, USA,34.0745042,-118.3598913
"Derrick"  {Eine Nacht im Oktober (#4.3)}, Germany,48.065582,11.550787
"Barney Miller"  {Ambush (#2.4)}, USA,34.1035136,-118.280568
"Chico and the Man"  {Chico's Padre (#3.15)}, USA,34.1546294,-118.334035
"Alberto Vilar el indomable"  {(#1.7)}, Argentina,-34.6036844,-58.3815591
"Barney Miller"  {Werewolf (#3.6)}, USA,34.1035136,-118.280568
"Chico and the Man"  {Raul Runs Away: Part 1 (#4.13)}, USA,34.1546294,-118.334035
"Chico and the Man"  {Old Dog (#1.3)}, USA,34.1546294,-118.334035
"Barney Miller"  {Ms. Cop (#1.8)}, USA,34.1035136,-118.280568
"Amar al ladrón"  {(#1.15)}, Argentina,-34.6036844,-58.3815591
"Alberto Vilar el indomable"  {(#1.16)}, Argentina,-34.6036844,-58.3815591
"Amar al ladrón"  {(#1.1)}, Argentina,-34.6036844,-58.3815591
"Dinah!"  {(#1.187)}, USA,34.0745042,-118.3598913
"Chico and the Man"  {New Suit (#1.4)}, USA,34.1546294,-118.334035
"Carrie's War"  {(#1.3)}, UK,52.5304626,-2.4205052
"Barney Miller"  {The Inventor (#6.21)}, USA,34.1035136,-118.280568
"Barney Miller"  {Bus Stop (#3.4)}, USA,34.1035136,-118.280568
"Chico and the Man"  {Borrowed Trouble (#1.5)}, USA,34.1546294,-118.334035
"Chico and the Man"  {Help Wanted (#4.19)}, USA,34.1546294,-118.334035
"Carrie's War"  {(#1.4)}, UK,52.5304626,-2.4205052
"Bagpuss"  {The Mouse Mill (#1.8)}, UK,52.3555177,-1.1743197
"Chico and the Man"  {Charo Takes Over (#4.9)}, USA,34.1546294,-118.334035
"Cakes and Ale"  {Part 1 (#1.1)}, UK,51.91445,-2.582446
"Barney Miller"  {The Search (#5.3)}, USA,34.1035136,-118.280568
"Barney Miller"  {Strike: Part 1 (#3.21)}, USA,34.1035136,-118.280568
"Amar al ladrón"  {(#1.26)}, Argentina,-34.6036844,-58.3815591
"Barney Miller"  {Escape Artist (#1.11)}, USA,34.1035136,-118.280568
"Amar al ladrón"  {(#1.19)}, Argentina,-34.6036844,-58.3815591
"Casada por poder"  {(#1.18)}, Argentina,-34.6036844,-58.3815591
"Chico and the Man"  {Louie's Retirement (#1.21)}, USA,34.1546294,-118.334035
"Barney Miller"  {Appendicitis (#4.14)}, USA,34.1035136,-118.280568
"Barney Miller"  {Ramon (#1.1)}, USA,34.1035136,-118.280568
"Alberto Vilar el indomable"  {(#1.14)}, Argentina,-34.6036844,-58.3815591
"Chico and the Man"  {Aunt Connie (#2.3)}, USA,34.1546294,-118.334035
"Chico and the Man"  {Chico's Cousin Pepe (#2.19)}, USA,34.1546294,-118.334035
"Chopper One"  {Killing Time (#1.9)}, USA,34.0522342,-118.2436849
"Chico and the Man"  {Della Moves In (#3.1)}, USA,34.1546294,-118.334035
"Barney Miller"  {The Rand Report (#3.14)}, USA,34.1035136,-118.280568
"Cachilo"  {(#1.2)}, Argentina,-34.6036844,-58.3815591
"Barney Miller"  {The Bank (#4.12)}, USA,34.1035136,-118.280568
"Chico and the Man"  {Mister Butterfly (#2.8)}, USA,34.1546294,-118.334035
"Chico and the Man"  {If I Were a Rich Man (#1.16)}, USA,34.1546294,-118.334035
"Casada por poder"  {(#1.2)}, Argentina,-34.6036844,-58.3815591
"Barney Miller"  {Homicide: Part 1 (#7.1)}, USA,34.1035136,-118.280568
"Chico and the Man"  {Su Casa Mi Casa? (#4.2)}, USA,34.1546294,-118.334035
"Barney Miller"  {Fish (#2.12)}, USA,34.1035136,-118.280568
"Chico and the Man"  {Champs Ain't Chumps (#3.14)}, USA,34.1546294,-118.334035
"Barney Miller"  {Dog Days (#5.4)}, USA,34.1035136,-118.280568
"Dinah!"  {(#3.24)}, USA,34.0745042,-118.3598913
"Barney Miller"  {Snow Job (#1.3)}, USA,34.1035136,-118.280568
"Barney Miller"  {The Car (#8.3)}, USA,34.1035136,-118.280568
"Barney Miller"  {Fear of Flying (#2.17)}, USA,34.1035136,-118.280568
"Con odio y con amor"  {(#1.2)}, Argentina,-34.6036844,-58.3815591
"Bagpuss"  {The Elephant (#1.7)}, UK,51.30666,1.042894
"Alberto Vilar el indomable"  {(#1.4)}, Argentina,-34.6036844,-58.3815591
"Barney Miller"  {Loan Shark (#5.8)}, USA,34.1035136,-118.280568
"Barney Miller"  {The Prisoner (#5.7)}, USA,34.1035136,-118.280568
"Barney Miller"  {Fog (#6.22)}, USA,34.1035136,-118.280568
"Barney Miller"  {The Psychiatrist (#2.20)}, USA,34.1035136,-118.280568
"Barney Miller"  {Blizzard (#4.7)}, USA,34.1035136,-118.280568
"Chico and the Man"  {The Dress (#3.12)}, USA,34.1546294,-118.334035
"Derrick"  {Die Entscheidung (#7.6)}, Germany,48.065582,11.550787
"Dinah!"  {(1977-09-15)}, USA,34.0745042,-118.3598913
"Barney Miller"  {Block Party (#2.18)}, USA,34.1035136,-118.280568
"Bagpuss" , UK,51.30666,1.042894
"Alberto Vilar el indomable"  {(#1.8)}, Argentina,-34.6036844,-58.3815591
"Barney Miller"  {Evacuation (#3.1)}, USA,34.1035136,-118.280568
"Barney Miller"  {Massage Parlor (#2.19)}, USA,34.1035136,-118.280568
"Chico and the Man"  {Louie's Can-Can (#3.20)}, USA,34.1546294,-118.334035
"Bagpuss"  {Flying (#1.12)}, UK,51.30666,1.042894
"Ana del aire" ,Mexico,23.634501,-102.552784
"Barney Miller"  {Burial (#4.5)}, USA,34.1035136,-118.280568
"Barney Miller"  {The Dentist (#6.11)}, USA,34.1035136,-118.280568
"Amar al ladrón"  {(#1.34)}, Argentina,-34.6036844,-58.3815591
"Con odio y con amor"  {(#1.4)}, Argentina,-34.6036844,-58.3815591
"Con odio y con amor"  {(#1.7)}, Argentina,-34.6036844,-58.3815591
"Chico and the Man"  {Chico and the Van (#2.6)}, USA,34.1546294,-118.334035
"Bagpuss" , UK,52.3555177,-1.1743197
"Amar al ladrón"  {(#1.31)}, Argentina,-34.6036844,-58.3815591
"Dinah!"  {(#1.86)}, USA,34.0745042,-118.3598913
"Das blaue Palais"  {Unsterblichkeit (#1.4)}, UK,57.2738957,-5.5161585
"Amar al ladrón"  {(#1.16)}, Argentina,-34.6036844,-58.3815591
"Amar al ladrón"  {(#1.28)}, Argentina,-34.6036844,-58.3815591
"Barney Miller"  {People's Court (#6.12)}, USA,34.1035136,-118.280568
"Bagpuss"  {The Elephant (#1.7)}, UK,52.3555177,-1.1743197
"Barney Miller"  {Riot (#7.19)}, USA,34.1035136,-118.280568
"Chico and the Man"  {Ed Talks to God (#3.18)}, USA,34.1546294,-118.334035
"Barney Miller"  {Discovery (#2.8)}, USA,34.1035136,-118.280568
"Barney Miller"  {The Architect (#6.20)}, USA,34.1035136,-118.280568
"Amar al ladrón"  {(#1.30)}, Argentina,-34.6036844,-58.3815591
"Barney Miller"  {Copy Cat (#4.6)}, USA,34.1035136,-118.280568
"Chico and the Man"  {The Dream (#2.14)}, USA,34.1546294,-118.334035
"Amar al ladrón"  {(#1.6)}, Argentina,-34.6036844,-58.3815591
"Barney Miller"  {The Judge (#6.9)}, USA,34.1035136,-118.280568
"Alberto Vilar el indomable"  {(#1.11)}, Argentina,-34.6036844,-58.3815591
"Alberto Vilar el indomable"  {(#1.6)}, Argentina,-34.6036844,-58.3815591
"Bagpuss"  {The Hamish (#1.5)}, UK,52.3555177,-1.1743197
"Bagpuss"  {The Hamish (#1.5)}, UK,51.30666,1.042894
"Chico and the Man"  {No Room in the Garage (#1.9)}, USA,34.1546294,-118.334035
"Chico and the Man"  {Chico Packs His Bags (#3.3)}, USA,34.1546294,-118.334035
"Dinah!"  {(#2.169)}, USA,34.0745042,-118.3598913
"Deux ans de vacances" ,Romania,45.943161,24.96676
"Definition" , Canada,43.7821105,-79.25723169999999
"Barney Miller"  {Happy New Year (#2.15)}, USA,34.1035136,-118.280568
"Chopper One"  {Downtime (#1.12)}, USA,34.0522342,-118.2436849
"Barney Miller"  {The Vandal (#5.9)}, USA,34.1035136,-118.280568
