film,country,lat,long
Amnesis , Australia,-33.8688197,151.2092955
Zapp Movie: Computer Love , USA,39.7589478,-84.1916069
Escape from Biafra , UK,51.5073509,-0.1277583
Vermont Street , USA,33.7855722,-118.0850642
Vermont Street , USA,37.4613272,-122.197743
1692 , USA,42.4072107,-71.3824374
Wild Thing , Japan,35.6894875,139.6917064
Mahabharata: Part 1 , United Arab Emirates,24.453884,54.3773438
Scooby , USA,34.0522342,-118.2436849
Infinite Payback , USA,42.4694321,-93.8159149
A Still Small Voice , USA,34.0522342,-118.2436849
Elzának Szeretettel , Romania,47.6737598,23.7456285
Vermont Street , USA,19.7070942,-155.0884869
Elzának Szeretettel , Hungary,47.8351243,22.6757695
Wild Thing , Indonesia,-6.17511,106.8650395
Sacred Ecology ,USA,37.09024,-95.712891
Wild Thing , USA,40.7127753,-74.0059728
Rick the Dick , USA,36.1699412,-115.1398296
If , Germany,52.52000659999999,13.404954
If , India,19.0759837,72.8776559
1692 , USA,42.51954,-70.8967155
Life in a Backwards Hell Hole , USA,41.940314,-75.201229
Sacred Ecology ,New Zealand,-40.900557,174.885971
Synove hor , Czech Republic,50.7672222,15.6222222
A Still Small Voice , USA,41.308274,-72.9278835
Losing Bob , USA,34.0522342,-118.2436849
Not Funny: The Movie , USA,41.7759301,-72.52150089999999
Sacred Ecology ,Guatemala,15.783471,-90.23075899999999
1692 , USA,28.5383355,-81.3792365
"Slaget om Narvik" , Norway,68.4384984,17.4272613
TimeWarpers ,Mexico,23.634501,-102.552784
If , Germany,53.07929619999999,8.8016936
Deceptive Exit ,Spain,40.46366700000001,-3.74922
Sacred Ecology ,Iceland,64.963051,-19.020835
Sacred Ecology ,Canada,56.130366,-106.346771
Narcissism: The Untold Story of Terror , USA,41.7620842,-72.7420151
Narcissism: The Untold Story of Terror , USA,34.4133292,-119.8609718
Untitled AIDS Benefit Feature Film Project , USA,34.0160487,-118.4037798
Astronomy Walkers , Chile,-27.112723,-109.3496865
Elzának Szeretettel , Romania,46.1865606,21.3122677
If , China,31.2303904,121.4737021
Sacred Ecology ,Mexico,23.634501,-102.552784
TimeWarpers ,USA,37.09024,-95.712891
Ambiancé , Sweden,55.8039096,13.7924134
"2020 Summer Olympics" , Japan,35.6894875,139.6917064
TimeWarpers ,Denmark,56.26392,9.501785
Take Me to the Go Go , USA,38.9071923,-77.0368707
Zione , USA,34.1425078,-118.255075
"The Nordic Odyssey" , France,48.856614,2.3522219
Zapp Movie: Computer Love , USA,33.7205771,-116.2155619
Gray Sunshine , USA,26.5628537,-81.9495331
Life in a Backwards Hell Hole , USA,38.9784453,-76.4921829
Something Barked on Christmas Morning , USA,34.0522342,-118.2436849
Stonefish , Australia,-37.8136276,144.9630576
Sacred Ecology ,Australia,-25.274398,133.775136
Avatar 2 ,New Zealand,-40.900557,174.885971
Facebook: a Love Story , India,28.7040592,77.10249019999999
Rick the Dick , USA,33.6633573,-116.3100095
Take Me to the Go Go , USA,37.4315734,-78.6568942
Vermont Street , USA,34.0522342,-118.2436849
Scooby , USA,32.7766642,-96.79698789999999
Rick the Dick , USA,34.0522342,-118.2436849
Wild Thing ,Malaysia,4.210484,101.975766
Sacred Ecology , Indonesia,-8.4095178,115.188916
If , UK,51.5073509,-0.1277583
Vermont Street , USA,42.0841936,-88.0131275
Bajrangpur , India,21.2786567,81.8661442
Escape from Biafra , Kenya,-1.2920659,36.8219462
Offside , Poland,53.4285438,14.5528116
Rick the Dick , USA,33.8302961,-116.5452921
If , Germany,48.1351253,11.5819805
A unfinish novel , Mexico,21.3841719,-98.9921748
A Girl and a Gun , USA,34.0522342,-118.2436849
Grandad , USA,41.7886224,-72.55403989999999
Elzának Szeretettel , Hungary,47.497912,19.040235
Grandad , USA,41.7441804,-72.5359332
Wild Thing , UK,51.5073509,-0.1277583
Zapp Movie: Computer Love , Japan,35.6664477,139.7308793
"The Fault Line" , NZ,-36.8484597,174.7633315
Bread in Heaven , Turkey,36.9914194,35.3308285
Rick the Dick , USA,33.7222445,-116.3744556
Gray Sunshine , USA,26.9297836,-82.0453664
Wild Thing ,Syria,34.80207499999999,38.996815
Deceptive Exit ,USA,37.09024,-95.712891
Why Me? , UK,51.5073509,-0.1277583
Wild Thing , USA,34.0522342,-118.2436849
Avatar 2 , USA,33.9015541,-118.3840529
Avatar 2 , USA,34.0522342,-118.2436849
Sacred Ecology , UK,52.3555177,-1.1743197
"2020 Summer Paralympics" , Japan,35.6894875,139.6917064
"The Fault Line" , Australia,-22.3913,143.0381
Deceptive Exit ,Canada,56.130366,-106.346771
Dante's Inferno 3D ,Lithuania,55.169438,23.881275
"The Fault Line" , USA,34.0522342,-118.2436849
Sacred Ecology ,Norway,60.47202399999999,8.468945999999999
Gray Sunshine , USA,26.9620053,-82.3525952
Retard Squad: Infinite War , Australia,-33.8688197,151.2092955
Butterflies & Diamonds , USA,41.49932,-81.6943605
TimeWarpers ,Sweden,60.12816100000001,18.643501
Zapp Movie: Computer Love , USA,39.3995008,-84.5613355
Wild Thing , Singapore,1.352083,103.819836
