film,country,lat,long
"Amor gitano"  {(#1.35)}, Argentina,-34.6036844,-58.3815591
":20 Minute Workout" , Canada,43.653226,-79.3831843
"Auf Wiedersehen Pet" , UK,53.1046782,-1.5623885
"Automan"  {Staying Alive While Running a High Flashdance Fever (#1.2)}, USA,34.05179,-118.4125106
"Auf Wiedersehen Pet" , UK,55.03771520000001,-1.7022861
"All the Rivers Run" , Australia,-38.6202178,143.0007549
"Auf Wiedersehen Pet" , UK,54.975696,-1.5919962
"Amar... al salvaje"  {(#1.114)}, Argentina,-34.6036844,-58.3815591
"Amar... al salvaje"  {(#1.1)}, Argentina,-34.6036844,-58.3815591
"Anillos de oro"  {Dejad que vuelen los pájaros (#1.12)}, Spain,40.4167754,-3.7037902
"Amar... al salvaje"  {(#1.126)}, Argentina,-34.6036844,-58.3815591
"Alternatywy 4" , Poland,52.1496279,21.056104
"Auf Wiedersehen Pet"  {If I Were a Carpenter (#1.1)}, UK,54.978252,-1.61778
"Auf Wiedersehen Pet"  {Marjorie Doesn't Live Here Anymore (#2.8)}, UK,54.95268,-1.603411
"A Floresta Portuguesa"  {A Floresta e a Industria (#1.4)}, Portugal,39.9167748,-8.6321415
"Auf Wiedersehen Pet" , UK,52.909926,-0.8136049999999999
"Aprender a vivir... 83"  {(#1.23)}, Argentina,-34.6036844,-58.3815591
"After MASH"  {Fallout (#1.10)}, USA,34.05179,-118.4125106
"Amar... al salvaje"  {(#1.11)}, Argentina,-34.6036844,-58.3815591
"America Undercover"  {Left of the Dial}, USA,40.7830603,-73.9712488
"Amar... al salvaje"  {(#1.82)}, Argentina,-34.6036844,-58.3815591
"Amar... al salvaje"  {(#1.19)}, Argentina,-34.6036844,-58.3815591
"Amar... al salvaje"  {(#1.102)}, Argentina,-34.6036844,-58.3815591
"Amor gitano"  {(#1.69)}, Argentina,-34.6036844,-58.3815591
"Amar... al salvaje"  {(#1.43)}, Argentina,-34.6036844,-58.3815591
"Auf Wiedersehen Pet" ,Dominican Republic,18.735693,-70.162651
"Auf Wiedersehen Pet"  {The Return of the Seven: Part 1 (#2.1)}, UK,52.9249115,-1.2131648
"Auf Wiedersehen Pet" , UK,51.5201013,-0.1379591
"Auf Wiedersehen Pet" , Spain,36.4898088,-4.9490514
"A Floresta Portuguesa"  {A Vida Na Floresta (#1.2)},Portugal,39.39987199999999,-8.224454
"Amar... al salvaje"  {(#1.33)}, Argentina,-34.6036844,-58.3815591
"Amar... al salvaje"  {(#1.138)}, Argentina,-34.6036844,-58.3815591
"Amar... al salvaje"  {(#1.79)}, Argentina,-34.6036844,-58.3815591
"Amor gitano"  {(#1.12)}, Argentina,-34.6036844,-58.3815591
"Auf Wiedersehen Pet"  {Hasta La Vista (#2.9)}, UK,54.978252,-1.61778
"Anillos de oro"  {Una pareja (#1.2)}, Spain,40.4167754,-3.7037902
"Amar... al salvaje"  {(#1.131)}, Argentina,-34.6036844,-58.3815591
"Amar... al salvaje"  {(#1.57)}, Argentina,-34.6036844,-58.3815591
"Automan" , USA,34.05179,-118.4125106
"Amar... al salvaje"  {(#1.34)}, Argentina,-34.6036844,-58.3815591
"Amor gitano"  {(#1.52)}, Argentina,-34.6036844,-58.3815591
"Auf Wiedersehen Pet"  {The Return of the Seven: Part 2 (#2.2)}, UK,52.95478319999999,-1.1581086
"Auf Wiedersehen Pet"  {The Return of the Seven: Part 2 (#2.2)}, UK,54.978252,-1.61778
"Amor gitano"  {(#1.50)}, Argentina,-34.6036844,-58.3815591
"Amor gitano"  {(#1.22)}, Argentina,-34.6036844,-58.3815591
"All the Rivers Run"  {Eifersucht - 4-10-1983 - 48 M. - (#1.2)}, Australia,-36.1459548,144.7448007
"Amar... al salvaje"  {(#1.101)}, Argentina,-34.6036844,-58.3815591
"Amor gitano"  {(#1.54)}, Argentina,-34.6036844,-58.3815591
"Amar... al salvaje"  {(#1.54)}, Argentina,-34.6036844,-58.3815591
"Amor gitano"  {(#1.44)}, Argentina,-34.6036844,-58.3815591
"Amor gitano"  {(#1.60)}, Argentina,-34.6036844,-58.3815591
"After MASH"  {September of '53/Together Again (#1.1)}, USA,38.6270025,-90.19940419999999
"Auf Wiedersehen Pet"  {Cowboys (#2.6)}, Spain,36.5123443,-4.994513899999999
"Auf Wiedersehen Pet" , Cuba,23.1135925,-82.3665956
"Aprender a vivir... 83"  {(#1.10)}, Argentina,-34.6036844,-58.3815591
"Auf Wiedersehen Pet" , UK,53.100319,-0.9936305999999998
"Australia You're Standing in It" , Australia,-37.8136276,144.9630576
"Auf Wiedersehen Pet"  {Law and Disorder (#2.11)}, Spain,36.510071,-4.8824474
"Auf Wiedersehen Pet"  {Marjorie Doesn't Live Here Anymore (#2.8)}, UK,54.96855069999999,-1.6170684
"Amar... al salvaje"  {(#1.2)}, Argentina,-34.6036844,-58.3815591
"Auf Wiedersehen Pet" , Germany,51.2277411,6.7734556
"All the Rivers Run" , Australia,-36.1459548,144.7448007
"Amar... al salvaje"  {(#1.30)}, Argentina,-34.6036844,-58.3815591
"Auf Wiedersehen Pet"  {A Law for the Rich (#2.3)}, UK,53.13641550000001,-0.9104896
"Amar... al salvaje"  {(#1.5)}, Argentina,-34.6036844,-58.3815591
"Amor gitano"  {(#1.61)}, Argentina,-34.6036844,-58.3815591
"Against the Odds" , USA,34.0522342,-118.2436849
"Anillos de oro"  {Cuestión de principios (#1.1)}, Spain,40.4167754,-3.7037902
"Anillos de oro"  {Cuando se dan mal las cartas (#1.8)}, Spain,40.4167754,-3.7037902
"Amar... al salvaje"  {(#1.36)}, Argentina,-34.6036844,-58.3815591
"Amada"  {(#1.10)}, Argentina,-34.6036844,-58.3815591
"Amar... al salvaje"  {(#1.123)}, Argentina,-34.6036844,-58.3815591
"Auf Wiedersehen Pet"  {A Home from Home (#2.5)}, UK,53.1046782,-1.5623885
"Amanda's"  {All in a Day's Work (#1.1)}, USA,34.0837186,-118.3209528
"All the Rivers Run" , Australia,-35.4092603,143.762027
"Auf Wiedersehen Pet" , USA,36.91472220000001,-111.4558333
"Alternatywy 4" , Poland,52.6974595,21.0852069
