film,country,lat,long
"ALF"  {La Cuckaracha (#1.25)}, USA,34.0160487,-118.4037798
"Boon"  {Big Game Hunt (#4.10)}, UK,52.9471539,-1.1467223
"Boon"  {The Eyes of Texas (#4.13)}, UK,52.95210669999999,-1.1442398
"Catch Phrase"  {(#1.2)}, UK,52.3555177,-1.1743197
"Boon"  {Work Rest & Play (#5.5)}, UK,52.98464689999999,-1.1553976
"All Is Forgiven"  {On Air Commitment (#1.1)}, USA,34.0837186,-118.3209528
"Ave Fénix" ,Mexico,23.634501,-102.552784
"Casualty"  {Passions and Convictions (#18.23)}, UK,51.5100255,-0.2268465
"ALF"  {Tonight Tonight: Part 1 (#3.4)}, USA,34.0160487,-118.4037798
"Casualty"  {High Noon (#1.6)}, UK,51.454513,-2.58791
"Boon"  {A Night at the Ballet (#5.4)}, UK,52.9551467,-1.1513888
"Boon"  {Undercover (#5.9)}, UK,52.938224,-1.1379781
"Boon" , UK,52.9712,-1.30987
"Boon"  {Do Not Forsake Me (#4.8)}, UK,52.9471539,-1.1467223
"ALF"  {ALF's Special Christmas: Part 2 (#2.13)}, USA,34.0160487,-118.4037798
"Card Sharks" , USA,34.0745042,-118.3598913
"Bread"  {(#3.11)}, UK,52.3555177,-1.1743197
"Boon"  {The Barefaced Contessa (#6.5)}, UK,52.9313264,-1.1256122
"Casualty" , UK,51.4561365,-2.5773633
"Bread"  {(#6.3)}, UK,52.3555177,-1.1743197
"Amor prohibido"  {(#1.41)}, Argentina,-34.6036844,-58.3815591
"ALF"  {Mr. Sandman (#4.20)}, USA,34.0160487,-118.4037798
"Brush Strokes"  {(#3.6)}, UK,50.69384789999999,-1.304734
"ALF"  {Stairway to Heaven (#3.2)}, USA,34.0160487,-118.4037798
"ALF"  {Like an Old Time Movie (#3.24)}, USA,34.0160487,-118.4037798
"1986 World Series" , USA,40.73971359999999,-73.840785
"Boon"  {The Belles of St. Godwalds (#5.7)}, UK,52.9348441,-1.1205447
"Casualty"  {Holding the Baby (#16.1)}, UK,52.76864699999999,-1.195887
"Amor prohibido"  {(#1.18)}, Argentina,-34.6036844,-58.3815591
"ALF"  {Mind Games (#4.5)}, USA,34.0160487,-118.4037798
"ALF"  {Superstition (#3.19)}, USA,34.0160487,-118.4037798
"Bread"  {(#3.5)}, UK,52.3555177,-1.1743197
"Casualty"  {Lifelines (#2.6)}, UK,51.2863889,-2.7602778
"Amor prohibido"  {(#1.29)}, Argentina,-34.6036844,-58.3815591
"ALF"  {I've Got a New Attitude (#1.15)}, USA,34.0160487,-118.4037798
"ALF"  {Wedding Bell Blues (#2.4)}, USA,34.0160487,-118.4037798
"Boon"  {The Devil You Know (#3.9)}, UK,52.5560153,-2.1619451
"Casualty"  {Anaconda (#2.5)}, UK,51.454513,-2.58791
"ALF"  {Tonight Tonight: Part 2 (#3.5)}, USA,34.0160487,-118.4037798
"ALF"  {Take a Look at Me Now (#2.3)}, USA,34.0160487,-118.4037798
"Boon"  {Trudy's Grit (#2.9)}, UK,52.651128,-1.80356
"Buddy" , UK,50.854259,0.573453
"Boon"  {Stamp Duty (#6.13)}, UK,52.9471539,-1.1467223
"Amor prohibido"  {(#1.70)}, Argentina,-34.6036844,-58.3815591
"Amor prohibido"  {(#1.26)}, Argentina,-34.6036844,-58.3815591
"Bread"  {(#7.9)}, UK,52.3555177,-1.1743197
"Amor prohibido"  {(#1.66)}, Argentina,-34.6036844,-58.3815591
"Bread"  {(#3.8)}, UK,52.3555177,-1.1743197
"Casualty" , UK,51.454513,-2.58791
"A Year in the Life" , USA,47.8106521,-122.3773551
"Catch Phrase"  {(#10.15)}, UK,52.3555177,-1.1743197
"Bread"  {(#5.13)}, UK,52.3555177,-1.1743197
